sampleID,antigen,Block,FBG_Median,BG_Median,replicate
SID_gen1,MSP3.6,1,65535,12688,1
SID_gen1,ETRAMP10.2,1,65535,11987,1
SID_gen1,GAMA,1,65535,11835,1
SID_gen1,MSRP4,1,65535,11891,1
SID_gen1,MSP4,1,65535,11862,1
SID_gen1,RAMA,1,65535,11195,1
SID_gen1,ASP,1,65535,10428,1
SID_gen1,MSP3.6,1,65535,14018,2
SID_gen1,ETRAMP10.2,1,65535,12647,2
SID_gen1,GAMA,1,65535,12773,2
SID_gen1,MSRP4,1,65535,13286,2
SID_gen1,MSP4,1,65535,15366,2
SID_gen1,RAMA,1,65535,14596,2
SID_gen1,ASP,1,65535,12522,2
SID_gen1,MSP3.6,1,65535,15601,3
SID_gen1,ETRAMP10.2,1,65535,13575,3
SID_gen1,GAMA,1,65535,13509,3
SID_gen1,MSRP4,1,65535,13879,3
SID_gen1,MSP4,1,65535,16470,3
SID_gen1,RAMA,1,65535,15780,3
SID_gen1,ASP,1,65535,13400,3
SID_gen1,PFD1130W,1,65535,17732,1
SID_gen1,EBA140,1,65535,16446,1
SID_gen1,MSRP2,1,22635,14774,1
SID_gen1,MSRP5,1,29582,14107,1
SID_gen1,P34,1,32390,13879,1
SID_gen1,MSP8,1,65535,15772,1
SID_gen1,P12,1,65535,15073,1
SID_gen1,MSP6,1,65535,13276,1
SID_gen1,PFD1130W,1,65535,17154,2
SID_gen1,EBA140,1,65535,17419,2
SID_gen1,MSRP2,1,24160,16099,2
SID_gen1,MSRP5,1,36689,14580,2
SID_gen1,P34,1,43072,13838,2
SID_gen1,MSP8,1,65535,14225,2
SID_gen1,P12,1,65535,13689,2
SID_gen1,MSP6,1,65535,13071,2
SID_gen1,PFD1130W,1,65535,19346,3
SID_gen1,EBA140,1,25541,22001,3
SID_gen1,MSRP2,1,19158,18271,3
SID_gen1,MSRP5,1,34071,15588,3
SID_gen1,P34,1,43707,14421,3
SID_gen1,MSP8,1,65535,13854,3
SID_gen1,P12,1,65535,13067,3
