sampleID,antigen,Block,FBG_Median,BG_Median,replicate
SID_gen1,MSP3.6,1,6129,1248,1
SID_gen1,ETRAMP10.2,1,3695,1079,1
SID_gen1,GAMA,1,21143,1182,1
SID_gen1,MSRP4,1,65535,1810,1
SID_gen1,MSP4,1,65535,2318,1
SID_gen1,RAMA,1,10362,1092,1
SID_gen1,ASP,1,29414,1005,1
SID_gen1,MSP3.6,1,5239,1365,2
SID_gen1,ETRAMP10.2,1,3582,1049,2
SID_gen1,GAMA,1,21078,1237,2
SID_gen1,MSRP4,1,65535,2130,2
SID_gen1,MSP4,1,65535,2362,2
SID_gen1,RAMA,1,11223,1053,2
SID_gen1,ASP,1,35740,977,2
SID_gen1,MSP3.6,1,3674,1191,3
SID_gen1,ETRAMP10.2,1,3147,995,3
SID_gen1,GAMA,1,18112,1149,3
SID_gen1,MSRP4,1,65535,1870,3
SID_gen1,MSP4,1,65535,1491,3
SID_gen1,RAMA,1,8095,1021,3
SID_gen1,ASP,1,25550,958,3
SID_gen1,PFD1130W,1,2964,1180,1
SID_gen1,EBA140,1,15043,1005,1
SID_gen1,MSRP2,1,1325,877,1
SID_gen1,MSRP5,1,1126,868,1
SID_gen1,P34,1,1941,985,1
SID_gen1,MSP8,1,9687,933,1
SID_gen1,P12,1,3443,993,1
SID_gen1,MSP6,1,20605,1290,1
SID_gen1,PFD1130W,1,2973,931,2
SID_gen1,EBA140,1,12864,892,2
SID_gen1,MSRP2,1,1239,808,2
SID_gen1,MSRP5,1,1229,788,2
SID_gen1,P34,1,1482,817,2
SID_gen1,MSP8,1,10327,817,2
SID_gen1,P12,1,3578,905,2
SID_gen1,MSP6,1,21579,1897,2
SID_gen1,PFD1130W,1,2251,867,3
SID_gen1,EBA140,1,953,844,3
SID_gen1,MSRP2,1,777,791,3
SID_gen1,MSRP5,1,1246,783,3
SID_gen1,P34,1,1532,809,3
SID_gen1,MSP8,1,7795,834,3
SID_gen1,P12,1,3131,970,3
SID_gen1,MSP6,1,20176,1877,3
SID_gen1,PF1400044,1,5203,892,1
SID_gen1,MSP1,1,41407,908,1
SID_gen1,RON6,1,4112,814,1
SID_gen1,MSP9,1,3457,846,1
SID_gen1,PTEX150,1,35559,887,1
SID_gen1,SERA7,1,8399,938,1
SID_gen1,MSP2,1,65535,1160,1
SID_gen1,SERA3,1,14833,1146,1
SID_gen1,PF1400044,1,5628,929,2
SID_gen1,MSP1,1,46789,960,2
SID_gen1,RON6,1,4446,851,2
SID_gen1,MSP9,1,3606,937,2
SID_gen1,PTEX150,1,44035,940,2
SID_gen1,SERA7,1,8126,1409,2
SID_gen1,MSP2,1,65535,1635,2
SID_gen1,SERA3,1,17058,965,2
SID_gen1,PF1400044,1,5064,913,3
SID_gen1,MSP1,1,42467,947,3
SID_gen1,RON6,1,3925,925,3
SID_gen1,MSP9,1,4630,1109,3
SID_gen1,PTEX150,1,38268,1000,3
SID_gen1,SERA7,1,6823,1237,3
SID_gen1,MSP2,1,65535,1667,3
SID_gen1,SERA3,1,11963,954,3
SID_gen1,P41,1,3022,861,1
SID_gen1,RON3,1,8281,893,1
SID_gen1,PF92,1,7122,1098,1
SID_gen1,MSRP1,1,65535,2641,1
SID_gen1,EBA175,1,65535,1291,1
SID_gen1,TLP,1,7536,951,1
SID_gen1,PF3D7_0606800,1,2194,924,1
SID_gen1,PFA0135W,1,2600,868,1
SID_gen1,P41,1,3793,845,2
SID_gen1,RON3,1,9602,899,2
SID_gen1,PF92,1,7393,1407,2
SID_gen1,MSRP1,1,65535,3183,2
SID_gen1,EBA175,1,65535,1970,2
SID_gen1,TLP,1,8135,857,2
SID_gen1,PF3D7_0606800,1,2000,770,2
SID_gen1,PFA0135W,1,2603,768,2
SID_gen1,P41,1,3651,848,3
SID_gen1,RON3,1,9031,907,3
SID_gen1,PF92,1,6595,1367,3
SID_gen1,MSRP1,1,65535,2999,3
SID_gen1,EBA175,1,65535,2042,3
SID_gen1,TLP,1,7948,810,3
SID_gen1,PF3D7_0606800,1,1988,736,3
SID_gen1,PFA0135W,1,2422,735,3
SID_gen1,PF3D7_0525800(IMC1g),1,10426,848,1
SID_gen1,PF3D7_1460600(ISP3),1,5866,854,1
SID_gen1,PF3D7_1455300,1,4018,974,1
SID_gen1,PF3D7_1025300,1,1903,1390,1
SID_gen1,PF3D7_0925900,1,2618,878,1
SID_gen1,PF3D7_0831400,1,8191,804,1
SID_gen1,PF3D7_0730800.2,1,65535,762,1
SID_gen1,PF3D7_1407800(PM4),1,862,737,1
SID_gen1,PF3D7_0525800(IMC1g),1,11764,827,2
SID_gen1,PF3D7_1460600(ISP3),1,7094,801,2
SID_gen1,PF3D7_1455300,1,3748,798,2
SID_gen1,PF3D7_1025300,1,803,788,2
SID_gen1,PF3D7_0925900,1,2444,755,2
SID_gen1,PF3D7_0831400,1,8005,800,2
SID_gen1,PF3D7_0730800.2,1,65535,860,2
SID_gen1,PF3D7_1407800(PM4),1,829,747,2
SID_gen1,PF3D7_0525800(IMC1g),1,9953,812,3
SID_gen1,PF3D7_1460600(ISP3),1,6025,787,3
