sampleID,antigen,Block,FBG_Median,BG_Median,replicate
SID_gen1,AlexaAntiMouseAb~N/A,1,5755,49,1
SID_gen1,AlexaAntiMouseAb~N/A,1,6373,50,2
SID_gen1,ERa~N/A,1,1322,49,1
SID_gen1,ERa~N/A,1,1310,48,2
SID_gen1,HumanIgG1~N/A,1,574,50,1
SID_gen1,HumanIgG1~N/A,1,415,49,2
SID_gen1,HumanIgG2~N/A,1,1084,50,1
SID_gen1,HumanIgG2~N/A,1,1171,51,2
SID_gen1,HumanIgG3~N/A,1,7173,50,1
SID_gen1,HumanIgG3~N/A,1,6326,55,2
SID_gen1,HumanIgA2~N/A,1,1545,49,1
SID_gen1,HumanIgA2~N/A,1,1752,50,2
SID_gen1,HumanIgA1~N/A,1,577,50,1
SID_gen1,HumanIgA1~N/A,1,630,49,2
SID_gen1,BSA~N/A,1,400,54,1
SID_gen1,BSA~N/A,1,503,54,2
SID_gen1,Hs~RefNM_000880.2~uORFIOH26652~RFU6263.27,1,606,52,1
SID_gen1,Hs~RefNM_000880.2~uORFIOH26652~RFU5848.75,1,557,52,1
SID_gen1,Hs~RefNM_002061.1~uORFIOH25898~RFU22961.28,1,650,50,1
SID_gen1,Hs~RefNM_002061.1~uORFIOH25898~RFU21839.05,1,740,49,1
SID_gen1,Hs~MGCBC010074.2~uORFIOH13694~RFU23288.85,1,1593,49,1
SID_gen1,Hs~MGCBC010074.2~uORFIOH13694~RFU24081.49,1,1390,51,1
SID_gen1,Hs~RefNM_014042.1~uORFIOH5151~RFU18004.25,1,702,52,1
SID_gen1,Hs~RefNM_014042.1~uORFIOH5151~RFU18037.61,1,712,52,1
SID_gen1,Internal_19970,1,1953,52,1
SID_gen1,Internal_19970,1,2141,52,2
SID_gen1,Hs~RefNM_006163.1~uORFIOH6673~RFU22831.87,1,1140,50,1
SID_gen1,Hs~RefNM_006163.1~uORFIOH6673~RFU23331.31,1,1176,50,1
SID_gen1,Hs~RefNM_000849.1~uORFIOH4761~RFU0,1,47,48,1
SID_gen1,Hs~RefNM_000849.1~uORFIOH4761~RFU0,1,46,48,2
SID_gen1,Hs~MGCBC000052.1~uORFIOH4650~RFU24346.38,1,1265,48,1
SID_gen1,Hs~MGCBC000052.1~uORFIOH4650~RFU26507.94,1,1365,50,1
SID_gen1,Hs~MGCBC005332.1~uORFIOH7177~RFU11377.01,1,5626,50,1
SID_gen1,Hs~MGCBC005332.1~uORFIOH7177~RFU12187.85,1,5718,50,1
SID_gen1,Hs~RefNM_004596.1~uORFIOH6628~RFU25244.16,1,1995,52,1
SID_gen1,Hs~RefNM_004596.1~uORFIOH6628~RFU24507.13,1,2184,53,1
SID_gen1,Hs~RefNM_006399.2~uORFIOH21626~RFU0,1,48,47,1
SID_gen1,Hs~RefNM_006399.2~uORFIOH21626~RFU0,1,50,47,2
SID_gen1,Hs~RefNM_152285.1~uORFIOH21698~RFU14967.14,1,1248,48,1
SID_gen1,Hs~RefNM_152285.1~uORFIOH21698~RFU14939.84,1,1237,48,1
SID_gen1,Hs~MGCBC033437.1~uORFIOH27326~RFU15832.58,1,1029,49,1
SID_gen1,Hs~MGCBC033437.1~uORFIOH27326~RFU15806.29,1,1119,49,1
SID_gen1,Hs~MGCBC030524.1~uORFIOH21689~RFU0,1,45,47,1
SID_gen1,Hs~MGCBC030524.1~uORFIOH21689~RFU0,1,47,50,2
SID_gen1,Hs~RefNM_005567.2~uORFIOH3566~RFU1795.57,1,802,59,1
SID_gen1,Hs~RefNM_005567.2~uORFIOH3566~RFU2052.79,1,821,57,1
SID_gen1,Hs~RefNM_020854.2~uORFIOH9686~RFU15479.73,1,917,49,1
SID_gen1,Hs~RefNM_020854.2~uORFIOH9686~RFU17863.71,1,921,49,1
SID_gen1,Hs~MGCBC068448.1~uORFIOH40093~RFU36391.67,1,7744,51,1
SID_gen1,Hs~MGCBC068448.1~uORFIOH40093~RFU36052.98,1,7630,52,1
SID_gen1,Hs~RefNM_006078.2~uORFIOH40316~RFU12233.34,1,849,51,1
SID_gen1,Hs~RefNM_006078.2~uORFIOH40316~RFU12495.2,1,990,51,1
SID_gen1,Hs~MGCBC062344.1~uORFIOH40702~RFU3352.54,1,671,52,1
