sampleID,antigen,Block,FBG_Median,BG_Median,replicate
SID_gen1,AlexaAntiMouseAb~N/A,1,7755,65,1
SID_gen1,AlexaAntiMouseAb~N/A,1,7221,65,2
SID_gen1,ERa~N/A,1,2593,63,1
SID_gen1,ERa~N/A,1,2695,64,2
SID_gen1,HumanIgG1~N/A,1,585,65,1
SID_gen1,HumanIgG1~N/A,1,586,66,2
SID_gen1,HumanIgG2~N/A,1,1104,65,1
SID_gen1,HumanIgG2~N/A,1,1162,65,2
SID_gen1,HumanIgG3~N/A,1,8202,68,1
SID_gen1,HumanIgG3~N/A,1,9027,68,2
SID_gen1,HumanIgA2~N/A,1,2366,64,1
SID_gen1,HumanIgA2~N/A,1,2665,66,2
SID_gen1,HumanIgA1~N/A,1,701,67,1
SID_gen1,HumanIgA1~N/A,1,709,67,2
SID_gen1,BSA~N/A,1,429,74,1
SID_gen1,BSA~N/A,1,396,86,2
SID_gen1,Hs~RefNM_000880.2~uORFIOH26652~RFU6263.27,1,419,97,1
SID_gen1,Hs~RefNM_000880.2~uORFIOH26652~RFU5848.75,1,403,80,1
SID_gen1,Hs~RefNM_002061.1~uORFIOH25898~RFU22961.28,1,447,66,1
SID_gen1,Hs~RefNM_002061.1~uORFIOH25898~RFU21839.05,1,499,67,1
SID_gen1,Hs~MGCBC010074.2~uORFIOH13694~RFU23288.85,1,1142,68,1
SID_gen1,Hs~MGCBC010074.2~uORFIOH13694~RFU24081.49,1,1005,70,1
SID_gen1,Hs~RefNM_014042.1~uORFIOH5151~RFU18004.25,1,415,79,1
SID_gen1,Hs~RefNM_014042.1~uORFIOH5151~RFU18037.61,1,569,418,1
SID_gen1,Internal_19970,1,2140,75,1
SID_gen1,Internal_19970,1,2028,71,2
SID_gen1,Hs~RefNM_006163.1~uORFIOH6673~RFU22831.87,1,948,66,1
SID_gen1,Hs~RefNM_006163.1~uORFIOH6673~RFU23331.31,1,930,66,1
SID_gen1,Hs~RefNM_000849.1~uORFIOH4761~RFU0,1,60,64,1
SID_gen1,Hs~RefNM_000849.1~uORFIOH4761~RFU0,1,63,65,2
SID_gen1,Hs~MGCBC000052.1~uORFIOH4650~RFU24346.38,1,590,71,1
SID_gen1,Hs~MGCBC000052.1~uORFIOH4650~RFU26507.94,1,602,71,1
SID_gen1,Hs~MGCBC005332.1~uORFIOH7177~RFU11377.01,1,7083,69,1
