sampleID,antigen,Block,FBG_Median,BG_Median,replicate
SID_gen1,AlexaAntiMouseAb~N/A,1,10935,62,1
SID_gen1,AlexaAntiMouseAb~N/A,1,12401,62,2
SID_gen1,ERa~N/A,1,2071,61,1
SID_gen1,ERa~N/A,1,2064,60,2
SID_gen1,HumanIgG1~N/A,1,747,60,1
SID_gen1,HumanIgG1~N/A,1,757,61,2
SID_gen1,HumanIgG2~N/A,1,1690,61,1
SID_gen1,HumanIgG2~N/A,1,1789,61,2
SID_gen1,HumanIgG3~N/A,1,12051,63,1
SID_gen1,HumanIgG3~N/A,1,11919,65,2
SID_gen1,HumanIgA2~N/A,1,3288,65,1
SID_gen1,HumanIgA2~N/A,1,3546,63,2
SID_gen1,HumanIgA1~N/A,1,892,63,1
SID_gen1,HumanIgA1~N/A,1,929,64,2
SID_gen1,BSA~N/A,1,6436,73,1
SID_gen1,BSA~N/A,1,6100,78,2
SID_gen1,Hs~RefNM_000880.2~uORFIOH26652~RFU6263.27,1,462,68,1
SID_gen1,Hs~RefNM_000880.2~uORFIOH26652~RFU5848.75,1,308,68,1
SID_gen1,Hs~RefNM_002061.1~uORFIOH25898~RFU22961.28,1,508,70,1
SID_gen1,Hs~RefNM_002061.1~uORFIOH25898~RFU21839.05,1,474,67,1
SID_gen1,Hs~MGCBC010074.2~uORFIOH13694~RFU23288.85,1,950,65,1
SID_gen1,Hs~MGCBC010074.2~uORFIOH13694~RFU24081.49,1,926,72,1
SID_gen1,Hs~RefNM_014042.1~uORFIOH5151~RFU18004.25,1,553,372,1
SID_gen1,Hs~RefNM_014042.1~uORFIOH5151~RFU18037.61,1,566,112,1
SID_gen1,Internal_19970,1,690,77,1
SID_gen1,Internal_19970,1,645,73,2
SID_gen1,Hs~RefNM_006163.1~uORFIOH6673~RFU22831.87,1,617,65,1
SID_gen1,Hs~RefNM_006163.1~uORFIOH6673~RFU23331.31,1,667,67,1
SID_gen1,Hs~RefNM_000849.1~uORFIOH4761~RFU0,1,59,65,1
SID_gen1,Hs~RefNM_000849.1~uORFIOH4761~RFU0,1,59,61,2
SID_gen1,Hs~MGCBC000052.1~uORFIOH4650~RFU24346.38,1,678,65,1
SID_gen1,Hs~MGCBC000052.1~uORFIOH4650~RFU26507.94,1,688,69,1
SID_gen1,Hs~MGCBC005332.1~uORFIOH7177~RFU11377.01,1,9940,77,1
SID_gen1,Hs~MGCBC005332.1~uORFIOH7177~RFU12187.85,1,10165,77,1
SID_gen1,Hs~RefNM_004596.1~uORFIOH6628~RFU25244.16,1,1555,69,1
SID_gen1,Hs~RefNM_004596.1~uORFIOH6628~RFU24507.13,1,1525,69,1
SID_gen1,Hs~RefNM_006399.2~uORFIOH21626~RFU0,1,59,60,1
SID_gen1,Hs~RefNM_006399.2~uORFIOH21626~RFU0,1,58,62,2
SID_gen1,Hs~RefNM_152285.1~uORFIOH21698~RFU14967.14,1,1019,63,1
SID_gen1,Hs~RefNM_152285.1~uORFIOH21698~RFU14939.84,1,990,62,1
SID_gen1,Hs~MGCBC033437.1~uORFIOH27326~RFU15832.58,1,1755,67,1
SID_gen1,Hs~MGCBC033437.1~uORFIOH27326~RFU15806.29,1,1802,68,1
SID_gen1,Hs~MGCBC030524.1~uORFIOH21689~RFU0,1,62,62,1
SID_gen1,Hs~MGCBC030524.1~uORFIOH21689~RFU0,1,58,62,2
SID_gen1,Hs~RefNM_005567.2~uORFIOH3566~RFU1795.57,1,455,69,1
SID_gen1,Hs~RefNM_005567.2~uORFIOH3566~RFU2052.79,1,463,71,1
SID_gen1,Hs~RefNM_020854.2~uORFIOH9686~RFU15479.73,1,806,62,1
SID_gen1,Hs~RefNM_020854.2~uORFIOH9686~RFU17863.71,1,870,65,1
SID_gen1,Hs~MGCBC068448.1~uORFIOH40093~RFU36391.67,1,603,69,1
SID_gen1,Hs~MGCBC068448.1~uORFIOH40093~RFU36052.98,1,588,70,1
