Block,Column,Row,Name,ID,F635 Median,B635,B635 Median,SNR 635,F635 Median - B635,global_BGMedian,minimum_BGMedian,sample,sampleID,sample_array_ID
1,1,1,Landmark,1F1,65535,5188,5188,2.616,60347,897,648,1,S_g1,1
1,2,1,MSP3.6,1B3,13182,1652,1652,0.272,11530,897,648,1,S_g1,1
1,3,1,ETRAMP10.2,1H3,2310,899,899,0.652,1411,897,648,1,S_g1,1
1,4,1,GAMA,1D5,18395,845,845,19.363,17550,897,648,1,S_g1,1
1,5,1,MSRP4,1F5,25786,836,836,10.679,24950,897,648,1,S_g1,1
1,6,1,MSP4,1B1,15503,790,790,4.64,14713,897,648,1,S_g1,1
1,7,1,RAMA,1H1,7602,753,753,2.656,6849,897,648,1,S_g1,1
1,8,1,ASP,1D3,17234,754,754,3.377,16480,897,648,1,S_g1,1
1,1,2,Landmark,1F1,65535,5024,5024,2.223,60511,897,648,1,S_g1,1
1,2,2,MSP3.6,1B3,12911,2590,2590,0.062,10321,897,648,1,S_g1,1
1,3,2,ETRAMP10.2,1H3,2256,902,902,0.673,1354,897,648,1,S_g1,1
1,4,2,GAMA,1D5,19980,827,827,30.579,19153,897,648,1,S_g1,1
1,5,2,MSRP4,1F5,31583,844,844,17.497,30739,897,648,1,S_g1,1
1,6,2,MSP4,1B1,17991,784,784,8.296,17207,897,648,1,S_g1,1
1,7,2,RAMA,1H1,8915,753,753,5.443,8162,897,648,1,S_g1,1
1,8,2,ASP,1D3,20397,743,743,3.88,19654,897,648,1,S_g1,1
1,1,3,Landmark,1F1,65535,2915,2915,2.983,62620,897,648,1,S_g1,1
1,2,3,MSP3.6,1B3,11387,1555,1555,0.102,9832,897,648,1,S_g1,1
1,3,3,ETRAMP10.2,1H3,2114,904,904,0.953,1210,897,648,1,S_g1,1
1,4,3,GAMA,1D5,16878,822,822,22.982,16056,897,648,1,S_g1,1
1,5,3,MSRP4,1F5,26043,804,804,12.987,25239,897,648,1,S_g1,1
1,6,3,MSP4,1B1,16118,769,769,7.197,15349,897,648,1,S_g1,1
1,7,3,RAMA,1H1,7328,749,749,5.031,6579,897,648,1,S_g1,1
1,8,3,ASP,1D3,14908,722,722,4.312,14186,897,648,1,S_g1,1
1,1,4,PFD1130W,1F2,2721,1101,1101,0.059,1620,897,648,1,S_g1,1
1,2,4,EBA140,1B4,3249,981,981,1.218,2268,897,648,1,S_g1,1
1,3,4,MSRP2,1H4,1980,876,876,2.568,1104,897,648,1,S_g1,1
1,4,4,MSRP5,1D6,1173,800,800,0.987,373,897,648,1,S_g1,1
1,5,4,P34,1F6,1154,764,764,0.377,390,897,648,1,S_g1,1
1,6,4,MSP8,1B2,8092,749,749,11.141,7343,897,648,1,S_g1,1
1,7,4,P12,1H2,1981,735,735,1.977,1246,897,648,1,S_g1,1
1,8,4,MSP6,1D4,3555,715,715,1.842,2840,897,648,1,S_g1,1
1,1,5,PFD1130W,1F2,2633,890,890,2.287,1743,897,648,1,S_g1,1
1,2,5,EBA140,1B4,2292,859,859,1.673,1433,897,648,1,S_g1,1
1,3,5,MSRP2,1H4,1829,819,819,4.96,1010,897,648,1,S_g1,1
1,4,5,MSRP5,1D6,1279,765,765,2.731,514,897,648,1,S_g1,1
1,5,5,P34,1F6,1247,746,746,2.302,501,897,648,1,S_g1,1
1,6,5,MSP8,1B2,10436,753,753,27.894,9683,897,648,1,S_g1,1
1,7,5,P12,1H2,2282,756,756,3.051,1526,897,648,1,S_g1,1
1,8,5,MSP6,1D4,4970,756,756,4.995,4214,897,648,1,S_g1,1
1,1,6,PFD1130W,1F2,2105,899,899,2.701,1206,897,648,1,S_g1,1
1,2,6,EBA140,1B4,1077,934,934,-0.138,143,897,648,1,S_g1,1
1,3,6,MSRP2,1H4,827,853,853,-0.193,-26,897,648,1,S_g1,1
1,4,6,MSRP5,1D6,1221,752,752,3.908,469,897,648,1,S_g1,1
1,5,6,P34,1F6,1653,714,714,3.555,939,897,648,1,S_g1,1
1,6,6,MSP8,1B2,6627,725,725,12.656,5902,897,648,1,S_g1,1
1,7,6,P12,1H2,1864,752,752,0.258,1112,897,648,1,S_g1,1
1,8,6,MSP6,1D4,3732,776,776,1.902,2956,897,648,1,S_g1,1
1,1,7,PF1400044,1N1,3912,955,955,13.757,2957,897,648,1,S_g1,1
1,2,7,MSP1,1J3,31365,1226,1226,4.882,30139,897,648,1,S_g1,1
1,3,7,RON6,1P3,3600,971,971,0.34,2629,897,648,1,S_g1,1
1,4,7,MSP9,1L5,2919,780,780,11.127,2139,897,648,1,S_g1,1
1,5,7,PTEX150,1N5,21867,740,740,30.398,21127,897,648,1,S_g1,1
1,6,7,SERA7,1J1,7353,737,737,8.853,6616,897,648,1,S_g1,1
1,7,7,MSP2,1P1,65535,770,770,12.988,64765,897,648,1,S_g1,1
1,8,7,SERA3,1L3,8001,805,805,1.551,7196,897,648,1,S_g1,1
1,1,8,PF1400044,1N1,4230,994,994,10.597,3236,897,648,1,S_g1,1
1,2,8,MSP1,1J3,32906,1364,1364,5.649,31542,897,648,1,S_g1,1
1,3,8,RON6,1P3,4072,1058,1058,0.678,3014,897,648,1,S_g1,1
1,4,8,MSP9,1L5,3571,831,831,26.587,2740,897,648,1,S_g1,1
1,5,8,PTEX150,1N5,28398,797,797,166.623,27601,897,648,1,S_g1,1
1,6,8,SERA7,1J1,7365,766,766,7.944,6599,897,648,1,S_g1,1
1,7,8,MSP2,1P1,65535,832,832,45.835,64703,897,648,1,S_g1,1
1,8,8,SERA3,1L3,11435,845,845,14.707,10590,897,648,1,S_g1,1
1,1,9,PF1400044,1N1,3522,980,980,4.633,2542,897,648,1,S_g1,1
1,2,9,MSP1,1J3,33361,1266,1266,6.442,32095,897,648,1,S_g1,1
1,3,9,RON6,1P3,3230,1070,1070,0.319,2160,897,648,1,S_g1,1
1,4,9,MSP9,1L5,3929,953,953,1.302,2976,897,648,1,S_g1,1
1,5,9,PTEX150,1N5,26153,887,887,33.838,25266,897,648,1,S_g1,1
1,6,9,SERA7,1J1,6124,788,788,7.563,5336,897,648,1,S_g1,1
1,7,9,MSP2,1P1,65535,924,924,59.383,64611,897,648,1,S_g1,1
1,8,9,SERA3,1L3,8325,927,927,3.619,7398,897,648,1,S_g1,1
1,1,10,P41,1N2,1467,900,900,1.751,567,897,648,1,S_g1,1
1,2,10,RON3,1J4,4657,992,992,2.976,3665,897,648,1,S_g1,1
1,3,10,PF92,1P4,6044,1030,1030,1.395,5014,897,648,1,S_g1,1
1,4,10,MSRP1,1L6,65535,1258,1258,11.098,64277,897,648,1,S_g1,1
1,5,10,EBA175,1N6,4466,973,973,1.023,3493,897,648,1,S_g1,1
1,6,10,TLP,1J2,4653,790,790,6.819,3863,897,648,1,S_g1,1
1,7,10,PF3D7_0606800,1P2,1716,881,881,2.258,835,897,648,1,S_g1,1
