sampleID,sample_array_ID,antigen,FMedian,BGMedian,FMedianBG_correct,Block,Column,Row,replicate,iden
SID_gen1,1,Landmark,65535,5188,64638,1,1,1,1,KK2-06
SID_gen1,1,Landmark,65535,5024,64638,1,1,2,2,KK2-06
SID_gen1,1,Landmark,65535,2915,64638,1,1,3,3,KK2-06
SID_gen1,1,MSP2,65535,770,64638,1,7,7,1,KK2-06
SID_gen1,1,MSP2,65535,832,64638,1,7,8,2,KK2-06
SID_gen1,1,MSP2,65535,924,64638,1,7,9,3,KK2-06
SID_gen1,1,Landmark,65535,4745,64638,1,1,22,4,KK2-06
SID_gen1,1,Landmark,65535,8515,64638,1,1,23,5,KK2-06
SID_gen1,1,Landmark,65535,10061,64638,1,1,24,6,KK2-06
SID_gen1,1,Landmark,65535,6677,64638,2,8,1,7,KK2-06
SID_gen1,1,Landmark,65535,10065,64638,2,8,2,8,KK2-06
SID_gen1,1,Landmark,65535,5201,64638,2,8,3,9,KK2-06
SID_gen1,1,AMA1,33063,751,32166,2,1,4,1,KK2-06
SID_gen1,1,AMA1,27436,798,26539,2,1,5,2,KK2-06
SID_gen1,1,AMA1,32803,838,31906,2,1,6,3,KK2-06
SID_gen1,1,Landmark,65535,18809,64638,2,8,22,10,KK2-06
SID_gen1,1,Landmark,65535,36330,64638,2,8,23,11,KK2-06
SID_gen1,1,Landmark,65535,36944,64638,2,8,24,12,KK2-06
SID_gen2,2,Landmark,65535,5127,64638,3,1,1,1,KK2-06
SID_gen2,2,Landmark,65535,5811,64638,3,1,2,2,KK2-06
SID_gen2,2,Landmark,65535,4671,64638,3,1,3,3,KK2-06
SID_gen2,2,MSP2,65535,873,64638,3,7,7,1,KK2-06
SID_gen2,2,MSP2,65535,1038,64638,3,7,8,2,KK2-06
SID_gen2,2,MSP2,65535,1047,64638,3,7,9,3,KK2-06
SID_gen2,2,Landmark,65535,2853,64638,3,1,22,4,KK2-06
SID_gen2,2,Landmark,65535,7666,64638,3,1,23,5,KK2-06
SID_gen2,2,Landmark,65535,10197,64638,3,1,24,6,KK2-06
SID_gen2,2,Landmark,65535,6495,64638,4,8,1,7,KK2-06
SID_gen2,2,Landmark,65535,8562,64638,4,8,2,8,KK2-06
SID_gen2,2,Landmark,65535,5792,64638,4,8,3,9,KK2-06
SID_gen2,2,AMA1,65535,2454,64638,4,1,4,1,KK2-06
SID_gen2,2,AMA1,65535,1869,64638,4,1,5,2,KK2-06
SID_gen2,2,AMA1,65535,1633,64638,4,1,6,3,KK2-06
SID_gen2,2,Landmark,65535,21764,64638,4,8,22,10,KK2-06
SID_gen2,2,Landmark,65535,53954,64638,4,8,23,11,KK2-06
SID_gen2,2,Landmark,65535,42215,64638,4,8,24,12,KK2-06
SID_gen3,3,Landmark,65535,2457,64638,5,1,1,1,KK2-06
SID_gen3,3,Landmark,65535,4154,64638,5,1,2,2,KK2-06
SID_gen3,3,Landmark,65535,2172,64638,5,1,3,3,KK2-06
SID_gen3,3,MSP2,9930,934,9033,5,7,7,1,KK2-06
SID_gen3,3,MSP2,9480,963,8583,5,7,8,2,KK2-06
SID_gen3,3,MSP2,9180,917,8283,5,7,9,3,KK2-06
SID_gen3,3,Landmark,65535,2738,64638,5,1,22,4,KK2-06
SID_gen3,3,Landmark,65535,4366,64638,5,1,23,5,KK2-06
SID_gen3,3,Landmark,65535,4407,64638,5,1,24,6,KK2-06
SID_gen3,3,Landmark,65535,4000,64638,6,8,1,7,KK2-06
SID_gen3,3,Landmark,65535,5082,64638,6,8,2,8,KK2-06
SID_gen3,3,Landmark,65535,4145,64638,6,8,3,9,KK2-06
SID_gen3,3,AMA1,65535,2890,64638,6,1,4,1,KK2-06
SID_gen3,3,AMA1,65535,2700,64638,6,1,5,2,KK2-06
SID_gen3,3,AMA1,65535,1135,64638,6,1,6,3,KK2-06
SID_gen3,3,Landmark,65535,29297,64638,6,8,22,10,KK2-06
SID_gen3,3,Landmark,65535,34297,64638,6,8,23,11,KK2-06
SID_gen3,3,Landmark,65535,29168,64638,6,8,24,12,KK2-06
SID_gen4,4,Landmark,65535,3642,64638,7,1,1,1,KK2-06
SID_gen4,4,Landmark,65535,3887,64638,7,1,2,2,KK2-06
SID_gen4,4,Landmark,65535,2467,64638,7,1,3,3,KK2-06
SID_gen4,4,MSP2,65535,810,64638,7,7,7,1,KK2-06
SID_gen4,4,MSP2,65535,848,64638,7,7,8,2,KK2-06
SID_gen4,4,MSP2,65535,829,64638,7,7,9,3,KK2-06
SID_gen4,4,Landmark,65535,3676,64638,7,1,22,4,KK2-06
SID_gen4,4,Landmark,65535,5247,64638,7,1,23,5,KK2-06
SID_gen4,4,Landmark,65535,2550,64638,7,1,24,6,KK2-06
SID_gen4,4,Landmark,65535,4452,64638,8,8,1,7,KK2-06
SID_gen4,4,Landmark,65535,6327,64638,8,8,2,8,KK2-06
SID_gen4,4,Landmark,65535,5160,64638,8,8,3,9,KK2-06
SID_gen4,4,AMA1,65535,1192,64638,8,1,4,1,KK2-06
SID_gen4,4,AMA1,65535,1260,64638,8,1,5,2,KK2-06
SID_gen4,4,AMA1,65535,1038,64638,8,1,6,3,KK2-06
SID_gen4,4,Landmark,65535,18106,64638,8,8,22,10,KK2-06
SID_gen4,4,Landmark,65535,27592,64638,8,8,23,11,KK2-06
SID_gen4,4,Landmark,65535,25384,64638,8,8,24,12,KK2-06
SID_gen5,5,Landmark,65535,4267,64638,9,1,1,1,KK2-06
SID_gen5,5,Landmark,65535,4155,64638,9,1,2,2,KK2-06
SID_gen5,5,Landmark,65535,2665,64638,9,1,3,3,KK2-06
SID_gen5,5,MSP2,43552,1018,42655,9,7,7,1,KK2-06
SID_gen5,5,MSP2,45004,965,44107,9,7,8,2,KK2-06
SID_gen5,5,MSP2,46174,934,45277,9,7,9,3,KK2-06
SID_gen5,5,Landmark,65535,3562,64638,9,1,22,4,KK2-06
SID_gen5,5,Landmark,65535,5900,64638,9,1,23,5,KK2-06
SID_gen5,5,Landmark,65535,5567,64638,9,1,24,6,KK2-06
SID_gen5,5,Landmark,65535,4718,64638,10,8,1,7,KK2-06
SID_gen5,5,Landmark,65535,6966,64638,10,8,2,8,KK2-06
SID_gen5,5,Landmark,65535,6754,64638,10,8,3,9,KK2-06
SID_gen5,5,AMA1,65535,1306,64638,10,1,4,1,KK2-06
SID_gen5,5,AMA1,65535,1348,64638,10,1,5,2,KK2-06
