antigen,TAG,TAG_name
AARP,0,CD4TAG
AMA1,0,CD4TAG
ASP,0,CD4TAG
CD4TAG,99,NO_TAG
CLAG3.2,0,CD4TAG
EBA140,0,CD4TAG
EBA175,0,CD4TAG
EBA181,0,CD4TAG
ETRAMP10.2,0,CD4TAG
GAMA,0,CD4TAG
GST,99,NO_TAG
H101,0,CD4TAG
MBP,99,NO_TAG
MSP1,0,CD4TAG
MSP10,0,CD4TAG
MSP11,0,CD4TAG
MSP1Block17,1,GST
MSP1Block23D7full,1,GST
MSP1Block23D7repeat,1,GST
MSP1Block2K1flank,1,GST
MSP1Block2MAD20full,1,GST
MSP1Block2MAD20repeat,1,GST
MSP1Block2PaloAltorepeat,1,GST
MSP1Block2R033,1,GST
MSP1Block2Wellcomefull,1,GST
MSP1Block2Wellcomerepeat,1,GST
MSP2,0,CD4TAG
MSP2CH15019DBL2,1,GST
MSP2CHO,1,GST
MSP2DD2,1,GST
MSP3,0,CD4TAG
MSP3.5,0,CD4TAG
MSP3.6,0,CD4TAG
MSP33D7,2,MBP
MSP3K1,2,MBP
MSP4,0,CD4TAG
MSP5,0,CD4TAG
MSP6,0,CD4TAG
MSP7,0,CD4TAG
MSP8,0,CD4TAG
MSP9,0,CD4TAG
MSPDBL2C.terminal,1,GST
MSPDBL2N.terminal,1,GST
MSPDBLC.terminal,1,GST
MSPDBLN.terminal,1,GST
MSRP1,0,CD4TAG
MSRP2,0,CD4TAG
MSRP3,0,CD4TAG
MSRP4,0,CD4TAG
MSRP5,0,CD4TAG
MTRAP,0,CD4TAG
P12,0,CD4TAG
P34,0,CD4TAG
P38,0,CD4TAG
P41,0,CD4TAG
PF10_0166,0,CD4TAG
PF113,0,CD4TAG
PF13_0125,0,CD4TAG
PF1400044,0,CD4TAG
PF3D7.1137300,0,CD4TAG
PF3D7.1431400,0,CD4TAG
PF3D7_0206200,0,CD4TAG
PF3D7_0525800.IMC1g.,0,CD4TAG
PF3D7_0606800,0,CD4TAG
PF3D7_0629500_SEG1,0,CD4TAG
PF3D7_0629500_SEG2,0,CD4TAG
PF3D7_0730800.2,0,CD4TAG
PF3D7_0830500,0,CD4TAG
PF3D7_0831400,0,CD4TAG
PF3D7_0925900,0,CD4TAG
PF3D7_1025300,0,CD4TAG
PF3D7_1105800,0,CD4TAG
PF3D7_1136200,0,CD4TAG
PF3D7_1229300,0,CD4TAG
PF3D7_1252300,0,CD4TAG
PF3D7_1343700.KELCH.,0,CD4TAG
PF3D7_1345100,0,CD4TAG
PF3D7_1401600.PHISTB.,0,CD4TAG
PF3D7_1407800.PM4.,0,CD4TAG
PF3D7_1455300,0,CD4TAG
PF3D7_1460600.ISP3.,0,CD4TAG
PF3D7_1462300,0,CD4TAG
PF92,0,CD4TAG
PFA0135W,0,CD4TAG
PFA0210c,0,CD4TAG
PFA0445W,0,CD4TAG
PFD1130W,0,CD4TAG
PfD1160W18,0,CD4TAG
PfD1160W19,0,CD4TAG
PFSEA,99,NO_TAG
PTEX150,0,CD4TAG
PTRAMP,0,CD4TAG
RAMA,0,CD4TAG
RH1,0,CD4TAG
RH2b,0,CD4TAG
RH5,0,CD4TAG
RHOPH3,0,CD4TAG
RIPR,0,CD4TAG
RON3,0,CD4TAG
RON6,0,CD4TAG
SERA2,0,CD4TAG
SERA3,0,CD4TAG
SERA4,0,CD4TAG
SERA5,0,CD4TAG
SERA7,0,CD4TAG
SERA9,0,CD4TAG
SPATR,0,CD4TAG
Surfin4.23D7A,1,GST
Surfin4.23D7B,1,GST
Surfin4.2Conserved,1,GST
Surfin4.2K1,1,GST
Surfin4.2K1A,1,GST
TLP,0,CD4TAG
CommercialHumanIgG,99,NO_TAG
PF3D7-1137300,0,CD4TAG
PF3D7-1431400,0,CD4TAG
PF3D7_0525800(IMC1g),0,CD4TAG
PF3D7_1237900,0,CD4TAG
PF3D7_1343700(KELCH),0,CD4TAG
PF3D7_1401600(PHISTB),0,CD4TAG
PF3D7_1407800(PM4),0,CD4TAG
PF3D7_1460600(ISP3),0,CD4TAG
MSPDBL2C-terminal,1,GST
MSPDBL2N-terminal,1,GST
MSPDBLC-terminal,1,GST
MSPDBLN-terminal,1,GST
