sample_array_ID,sample_index,slide
11,1,KK2-17_first
8,2,KK2-17_first
5,3,KK2-17_first
2,4,KK2-17_first
19,5,KK2-17_first
4,15,KK2-17_first
10,16,KK2-17_first
16,17,KK2-17_first
1,18,KK2-17_first
7,19,KK2-17_first
13,20,KK2-17_first
17,21,KK2-17_first
3,26,KK2-17_first
6,36,KK2-17_first
12,53,KK2-17_first
14,62,KK2-17_first
15,63,KK2-17_first
18,73,KK2-17_first
21,91,KK2-17_first
20,101,KK2-17_first
9,104,KK2-17_first
19,22,KK2-18
1,27,KK2-18
2,28,KK2-18
3,29,KK2-18
4,37,KK2-18
5,38,KK2-18
6,39,KK2-18
7,46,KK2-18
8,47,KK2-18
10,54,KK2-18
11,55,KK2-18
12,56,KK2-18
13,64,KK2-18
14,65,KK2-18
15,66,KK2-18
16,74,KK2-18
17,75,KK2-18
18,76,KK2-18
21,92,KK2-18
9,96,KK2-18
20,105,KK2-18
19,23,KK2-19
1,30,KK2-19
2,31,KK2-19
3,32,KK2-19
4,40,KK2-19
5,41,KK2-19
6,42,KK2-19
7,48,KK2-19
8,49,KK2-19
9,50,KK2-19
11,57,KK2-19
12,58,KK2-19
13,67,KK2-19
14,68,KK2-19
15,69,KK2-19
16,77,KK2-19
17,78,KK2-19
18,79,KK2-19
21,93,KK2-19
20,100,KK2-19
10,103,KK2-19
19,24,KK2-20
1,33,KK2-20
2,34,KK2-20
3,35,KK2-20
4,43,KK2-20
5,44,KK2-20
6,45,KK2-20
8,51,KK2-20
9,52,KK2-20
10,59,KK2-20
11,60,KK2-20
12,61,KK2-20
13,70,KK2-20
14,71,KK2-20
15,72,KK2-20
16,80,KK2-20
17,81,KK2-20
18,82,KK2-20
21,94,KK2-20
7,98,KK2-20
20,102,KK2-20
10,6,KK2-21
11,7,KK2-21
12,8,KK2-21
13,9,KK2-21
14,10,KK2-21
15,11,KK2-21
16,12,KK2-21
17,13,KK2-21
18,14,KK2-21
20,25,KK2-21
1,83,KK2-21
2,84,KK2-21
3,85,KK2-21
4,86,KK2-21
5,87,KK2-21
6,88,KK2-21
7,89,KK2-21
8,90,KK2-21
21,95,KK2-21
9,97,KK2-21
19,99,KK2-21
