sampleID,antigen,Block,FBG_Median,BG_Median,replicate
SID_gen1,MSP3.6,1,13182,1652,1
SID_gen1,ETRAMP10.2,1,2310,899,1
SID_gen1,GAMA,1,18395,845,1
SID_gen1,MSRP4,1,25786,836,1
SID_gen1,MSP4,1,15503,790,1
SID_gen1,RAMA,1,7602,753,1
SID_gen1,ASP,1,17234,754,1
SID_gen1,MSP3.6,1,12911,2590,2
SID_gen1,ETRAMP10.2,1,2256,902,2
SID_gen1,GAMA,1,19980,827,2
SID_gen1,MSRP4,1,31583,844,2
SID_gen1,MSP4,1,17991,784,2
SID_gen1,RAMA,1,8915,753,2
SID_gen1,ASP,1,20397,743,2
SID_gen1,MSP3.6,1,11387,1555,3
SID_gen1,ETRAMP10.2,1,2114,904,3
SID_gen1,GAMA,1,16878,822,3
SID_gen1,MSRP4,1,26043,804,3
SID_gen1,MSP4,1,16118,769,3
SID_gen1,RAMA,1,7328,749,3
SID_gen1,ASP,1,14908,722,3
SID_gen1,PFD1130W,1,2721,1101,1
SID_gen1,EBA140,1,3249,981,1
SID_gen1,MSRP2,1,1980,876,1
SID_gen1,MSRP5,1,1173,800,1
SID_gen1,P34,1,1154,764,1
SID_gen1,MSP8,1,8092,749,1
SID_gen1,P12,1,1981,735,1
SID_gen1,MSP6,1,3555,715,1
SID_gen1,PFD1130W,1,2633,890,2
SID_gen1,EBA140,1,2292,859,2
SID_gen1,MSRP2,1,1829,819,2
SID_gen1,MSRP5,1,1279,765,2
SID_gen1,P34,1,1247,746,2
SID_gen1,MSP8,1,10436,753,2
SID_gen1,P12,1,2282,756,2
SID_gen1,MSP6,1,4970,756,2
SID_gen1,PFD1130W,1,2105,899,3
SID_gen1,EBA140,1,1077,934,3
SID_gen1,MSRP2,1,827,853,3
SID_gen1,MSRP5,1,1221,752,3
SID_gen1,P34,1,1653,714,3
SID_gen1,MSP8,1,6627,725,3
SID_gen1,P12,1,1864,752,3
SID_gen1,MSP6,1,3732,776,3
SID_gen1,PF1400044,1,3912,955,1
SID_gen1,MSP1,1,31365,1226,1
SID_gen1,RON6,1,3600,971,1
SID_gen1,MSP9,1,2919,780,1
SID_gen1,PTEX150,1,21867,740,1
SID_gen1,SERA7,1,7353,737,1
SID_gen1,MSP2,1,65535,770,1
SID_gen1,SERA3,1,8001,805,1
SID_gen1,PF1400044,1,4230,994,2
SID_gen1,MSP1,1,32906,1364,2
SID_gen1,RON6,1,4072,1058,2
SID_gen1,MSP9,1,3571,831,2
SID_gen1,PTEX150,1,28398,797,2
SID_gen1,SERA7,1,7365,766,2
SID_gen1,MSP2,1,65535,832,2
SID_gen1,SERA3,1,11435,845,2
SID_gen1,PF1400044,1,3522,980,3
SID_gen1,MSP1,1,33361,1266,3
SID_gen1,RON6,1,3230,1070,3
SID_gen1,MSP9,1,3929,953,3
