sampleID,antigen,FMedianBG_correct,Block,Column,Row
SID_gen1,Buffer_174,4,1,6,22
SID_gen1,Buffer_175,6845,1,7,22
SID_gen1,Buffer_176,-164,1,8,22
SID_gen1,Buffer_182,-4,1,6,23
SID_gen1,Buffer_183,9696,1,7,23
SID_gen1,Buffer_184,-181,1,8,23
SID_gen1,Buffer_190,-114,1,6,24
SID_gen1,Buffer_191,10202,1,7,24
SID_gen1,Buffer_192,-111,1,8,24
SID_gen1,Buffer_361,-184,2,1,22
SID_gen1,Buffer_362,-199,2,2,22
SID_gen1,Buffer_363,-96,2,3,22
SID_gen1,Buffer_364,161,2,4,22
SID_gen1,Buffer_365,442,2,5,22
SID_gen1,Buffer_366,1536,2,6,22
SID_gen1,Buffer_369,-169,2,1,23
SID_gen1,Buffer_370,-189,2,2,23
SID_gen1,Buffer_371,-114,2,3,23
SID_gen1,Buffer_372,-51,2,4,23
SID_gen1,Buffer_373,215,2,5,23
SID_gen1,Buffer_374,7518,2,6,23
SID_gen1,Buffer_377,-179,2,1,24
SID_gen1,Buffer_378,-196,2,2,24
SID_gen1,Buffer_379,-127,2,3,24
SID_gen1,Buffer_380,-61,2,4,24
SID_gen1,Buffer_381,344,2,5,24
SID_gen1,Buffer_382,4463,2,6,24
SID_gen2,Buffer_558,189,3,6,22
SID_gen2,Buffer_559,24732,3,7,22
SID_gen2,Buffer_560,3294,3,8,22
SID_gen2,Buffer_566,18,3,6,23
SID_gen2,Buffer_567,42519,3,7,23
SID_gen2,Buffer_568,41,3,8,23
SID_gen2,Buffer_574,102,3,6,24
SID_gen2,Buffer_575,45402,3,7,24
SID_gen2,Buffer_576,203,3,8,24
SID_gen2,Buffer_745,16,4,1,22
SID_gen2,Buffer_746,24,4,2,22
SID_gen2,Buffer_747,237,4,3,22
SID_gen2,Buffer_748,817,4,4,22
SID_gen2,Buffer_749,996,4,5,22
SID_gen2,Buffer_750,4783,4,6,22
SID_gen2,Buffer_753,-20,4,1,23
SID_gen2,Buffer_754,-49,4,2,23
SID_gen2,Buffer_755,114,4,3,23
SID_gen2,Buffer_756,1287,4,4,23
SID_gen2,Buffer_757,1286,4,5,23
SID_gen2,Buffer_758,2750,4,6,23
SID_gen2,Buffer_761,99,4,1,24
SID_gen2,Buffer_762,202,4,2,24
SID_gen2,Buffer_763,586,4,3,24
SID_gen2,Buffer_764,1984,4,4,24
SID_gen2,Buffer_765,3437,4,5,24
SID_gen2,Buffer_766,3951,4,6,24
SID_gen3,Buffer_942,736,5,6,22
SID_gen3,Buffer_943,64638,5,7,22
SID_gen3,Buffer_944,641,5,8,22
SID_gen3,Buffer_950,220,5,6,23
SID_gen3,Buffer_951,64638,5,7,23
SID_gen3,Buffer_952,439,5,8,23
SID_gen3,Buffer_958,162,5,6,24
SID_gen3,Buffer_959,36326,5,7,24
SID_gen3,Buffer_960,2658,5,8,24
SID_gen3,Buffer_1129,25,6,1,22
SID_gen3,Buffer_1130,12,6,2,22
SID_gen3,Buffer_1131,88,6,3,22
SID_gen3,Buffer_1132,222,6,4,22
SID_gen3,Buffer_1133,781,6,5,22
SID_gen3,Buffer_1134,5192,6,6,22
SID_gen3,Buffer_1137,252,6,1,23
SID_gen3,Buffer_1138,328,6,2,23
SID_gen3,Buffer_1139,485,6,3,23
SID_gen3,Buffer_1140,780,6,4,23
SID_gen3,Buffer_1141,1114,6,5,23
SID_gen3,Buffer_1142,2483,6,6,23
SID_gen3,Buffer_1145,12,6,1,24
SID_gen3,Buffer_1146,61,6,2,24
SID_gen3,Buffer_1147,151,6,3,24
