sampleID,sample_array_ID,antigen,FMedian,BGMedian,FMedianBG_correct,Block,Column,Row,replicate,iden
533,1,Landmark,65535,12020,53515,1,1,1,1,KK2-17_first
533,1,MSP3.6,65535,11348,54187,1,2,1,1,KK2-17_first
533,1,ETRAMP10.2,65535,11012,54523,1,3,1,1,KK2-17_first
533,1,GAMA,65535,11493,54042,1,4,1,1,KK2-17_first
533,1,MSRP4,65535,11686,53849,1,5,1,1,KK2-17_first
533,1,MSP4,65535,11311,54224,1,6,1,1,KK2-17_first
533,1,RAMA,65535,9765,55770,1,7,1,1,KK2-17_first
533,1,ASP,65535,9113,56422,1,8,1,1,KK2-17_first
533,1,Landmark,65535,16971,48564,1,1,2,2,KK2-17_first
533,1,MSP3.6,65535,12131,53404,1,2,2,2,KK2-17_first
533,1,ETRAMP10.2,65535,11816,53719,1,3,2,2,KK2-17_first
533,1,GAMA,65535,12654,52881,1,4,2,2,KK2-17_first
533,1,MSRP4,65535,12895,52640,1,5,2,2,KK2-17_first
533,1,MSP4,65535,13367,52168,1,6,2,2,KK2-17_first
533,1,RAMA,65535,11684,53851,1,7,2,2,KK2-17_first
533,1,ASP,65535,10434,55101,1,8,2,2,KK2-17_first
533,1,Landmark,65535,16911,48624,1,1,3,3,KK2-17_first
533,1,MSP3.6,65535,12225,53310,1,2,3,3,KK2-17_first
533,1,ETRAMP10.2,65531,12219,53312,1,3,3,3,KK2-17_first
533,1,GAMA,65535,12568,52967,1,4,3,3,KK2-17_first
533,1,MSRP4,65535,12961,52574,1,5,3,3,KK2-17_first
533,1,MSP4,65535,14061,51474,1,6,3,3,KK2-17_first
533,1,RAMA,65535,11475,54060,1,7,3,3,KK2-17_first
533,1,ASP,65535,10357,55178,1,8,3,3,KK2-17_first
533,1,PFD1130W,65535,13476,52059,1,1,4,1,KK2-17_first
533,1,EBA140,65535,12552,52983,1,2,4,1,KK2-17_first
533,1,MSRP2,17041,12589,4452,1,3,4,1,KK2-17_first
533,1,MSRP5,29702,12225,17477,1,4,4,1,KK2-17_first
533,1,P34,31563,12154,19409,1,5,4,1,KK2-17_first
533,1,MSP8,65535,12644,52891,1,6,4,1,KK2-17_first
533,1,P12,65535,11379,54156,1,7,4,1,KK2-17_first
533,1,MSP6,65535,10606,54929,1,8,4,1,KK2-17_first
533,1,PFD1130W,65535,13406,52129,1,1,5,2,KK2-17_first
533,1,EBA140,63933,14025,49908,1,2,5,2,KK2-17_first
533,1,MSRP2,17036,13195,3841,1,3,5,2,KK2-17_first
533,1,MSRP5,28596,12190,16406,1,4,5,2,KK2-17_first
533,1,P34,36026,11803,24223,1,5,5,2,KK2-17_first
533,1,MSP8,65535,11879,53656,1,6,5,2,KK2-17_first
533,1,P12,65535,10745,54790,1,7,5,2,KK2-17_first
533,1,MSP6,65535,10893,54642,1,8,5,2,KK2-17_first
533,1,PFD1130W,65535,15423,50112,1,1,6,3,KK2-17_first
533,1,EBA140,19590,17335,2255,1,2,6,3,KK2-17_first
533,1,MSRP2,14630,15189,-559,1,3,6,3,KK2-17_first
533,1,MSRP5,36310,12946,23364,1,4,6,3,KK2-17_first
533,1,P34,65535,12255,53280,1,5,6,3,KK2-17_first
