sampleID,antigen,FMedian,replicate
533,MSP3.6,65535,1
533,ETRAMP10.2,65535,1
533,GAMA,65535,1
533,MSRP4,65535,1
533,MSP4,65535,1
533,RAMA,65535,1
533,ASP,65535,1
533,MSP3.6,65535,2
533,ETRAMP10.2,65535,2
533,GAMA,65535,2
533,MSRP4,65535,2
533,MSP4,65535,2
533,RAMA,65535,2
533,ASP,65535,2
533,MSP3.6,65535,3
533,ETRAMP10.2,65535,3
533,GAMA,65535,3
533,MSRP4,65535,3
533,MSP4,65535,3
533,RAMA,65535,3
533,ASP,65535,3
533,PFD1130W,65535,1
533,EBA140,65535,1
533,MSRP2,22635,1
533,MSRP5,29582,1
533,P34,32390,1
533,MSP8,65535,1
533,P12,65535,1
533,MSP6,65535,1
533,PFD1130W,65535,2
533,EBA140,65535,2
533,MSRP2,24160,2
533,MSRP5,36689,2
533,P34,43072,2
533,MSP8,65535,2
533,P12,65535,2
533,MSP6,65535,2
533,PFD1130W,65535,3
533,EBA140,25541,3
533,MSRP2,19158,3
533,MSRP5,34071,3
533,P34,43707,3
533,MSP8,65535,3
533,P12,65535,3
533,MSP6,65535,3
533,PF1400044,65535,1
533,MSP1,65535,1
533,RON6,65535,1
533,MSP9,65535,1
533,PTEX150,65535,1
533,SERA7,65535,1
533,MSP2,65535,1
533,SERA3,65535,1
533,PF1400044,65535,2
533,MSP1,65535,2
533,RON6,65535,2
533,MSP9,65535,2
533,PTEX150,65535,2
533,SERA7,65535,2
533,MSP2,65535,2
533,SERA3,65535,2
533,PF1400044,65535,3
533,MSP1,65535,3
533,RON6,65535,3
533,MSP9,65535,3
533,PTEX150,65535,3
533,SERA7,65535,3
533,MSP2,65535,3
533,SERA3,65535,3
533,P41,65535,1
533,RON3,65535,1
533,PF92,65535,1
533,MSRP1,65535,1
533,EBA175,65535,1
533,TLP,65535,1
533,PF3D7_0606800,58290,1
533,PFA0135W,65535,1
533,P41,64352,2
533,RON3,65535,2
533,PF92,65535,2
533,MSRP1,65535,2
533,EBA175,65535,2
533,TLP,65535,2
533,PF3D7_0606800,65535,2
533,PFA0135W,65535,2
533,P41,64041,3
533,RON3,65535,3
533,PF92,65535,3
533,MSRP1,65535,3
533,EBA175,65535,3
533,TLP,65535,3
533,PF3D7_0606800,52526,3
533,PFA0135W,65535,3
533,PF3D7_0525800(IMC1g),65535,1
533,PF3D7_1460600(ISP3),65535,1
533,PF3D7_1455300,65535,1
533,PF3D7_1025300,21838,1
533,PF3D7_0925900,52862,1
533,PF3D7_0831400,65535,1
533,PF3D7_0730800.2,65535,1
533,PF3D7_1407800(PM4),12787,1
533,PF3D7_0525800(IMC1g),65535,2
533,PF3D7_1460600(ISP3),65535,2
533,PF3D7_1455300,65535,2
533,PF3D7_1025300,14525,2
533,PF3D7_0925900,47015,2
533,PF3D7_0831400,65535,2
533,PF3D7_0730800.2,65535,2
533,PF3D7_1407800(PM4),13340,2
533,PF3D7_0525800(IMC1g),65535,3
533,PF3D7_1460600(ISP3),65535,3
533,PF3D7_1455300,65535,3
533,PF3D7_1025300,12840,3
533,PF3D7_0925900,54768,3
533,PF3D7_0831400,65535,3
533,PF3D7_0730800.2,65535,3
533,PF3D7_1407800(PM4),14472,3
533,PF3D7_0629500_SEG2,65535,1
533,PF3D7_1345100,65535,1
533,PF3D7_0206200,65535,1
533,PF3D7_1105800,65535,1
533,PTRAMP,65535,1
533,EBA181,65535,1
533,CD4TAG,37860,1
533,SERA2,65535,1
533,PF3D7_0629500_SEG2,65535,2
533,PF3D7_1345100,65535,2
533,PF3D7_0206200,65535,2
533,PF3D7_1105800,65535,2
533,PTRAMP,65535,2
533,EBA181,65535,2
533,CD4TAG,38623,2
533,SERA2,65535,2
533,PF3D7_0629500_SEG2,65535,3
533,PF3D7_1345100,65535,3
533,PF3D7_0206200,65535,3
533,PF3D7_1105800,65535,3
533,PTRAMP,65535,3
533,EBA181,65535,3
533,CD4TAG,38267,3
533,SERA2,65535,3
533,MSP1Block2K1flank,65535,1
533,MSP1Block2Wellcomefull,65535,1
533,MSP1Block2MAD20full,65535,1
533,MSP3K1,28994,1
533,MSPDBLC-terminal,65535,1
533,Surfin4.2K1,65535,1
533,MSPDBLN-terminal,65535,1
533,Surfin4.2Conserved,65535,1
533,MSP1Block2K1flank,65535,2
533,MSP1Block2Wellcomefull,65535,2
533,MSP1Block2MAD20full,65535,2
533,MSP3K1,28507,2
533,MSPDBLC-terminal,65535,2
533,Surfin4.2K1,65535,2
533,MSPDBLN-terminal,65535,2
533,Surfin4.2Conserved,65535,2
533,MSP1Block2K1flank,65535,3
533,MSP1Block2Wellcomefull,65535,3
533,MSP1Block2MAD20full,65535,3
533,MSP3K1,27343,3
533,MSPDBLC-terminal,65535,3
533,Surfin4.2K1,65535,3
533,MSPDBLN-terminal,65535,3
533,Surfin4.2Conserved,65535,3
533,PfD1160W18,65535,1
533,PfD1160W19,65535,1
533,MSP2CH15019DBL2,65535,1
533,GST,62750,1
533,PfD1160W18,65535,2
533,PfD1160W19,65535,2
533,MSP2CH15019DBL2,65535,2
533,GST,59066,2
533,PfD1160W18,65535,3
533,PfD1160W19,65535,3
533,MSP2CH15019DBL2,65535,3
533,GST,52886,3
533,SERA5,65535,1
533,MSP11,65535,1
533,RIPR,19761,1
533,SPATR,65535,1
533,MSP3,65535,1
533,PF3D7_1136200,65535,1
533,PFSEA,65535,1
533,SERA5,65535,2
533,MSP11,65535,2
533,RIPR,21355,2
533,SPATR,65535,2
533,MSP3,65535,2
533,PF3D7_1136200,65535,2
533,PFSEA,65535,2
533,SERA5,65535,3
533,MSP11,65535,3
533,RIPR,32186,3
533,SPATR,65535,3
533,MSP3,65535,3
533,PF3D7_1136200,65535,3
533,PFSEA,65535,3
533,AMA1,65535,1
533,SERA9,65535,1
533,MSP7,65535,1
533,PF10_0166,65535,1
533,MSP10,65535,1
533,MSP5,65535,1
533,MTRAP,27927,1
533,PF113,65535,1
533,AMA1,65535,2
533,SERA9,65535,2
533,MSP7,65535,2
533,PF10_0166,65535,2
533,MSP10,65535,2
533,MSP5,65535,2
533,MTRAP,65535,2
533,PF113,65535,2
533,AMA1,65535,3
533,SERA9,65535,3
533,MSP7,65535,3
533,PF10_0166,65535,3
533,MSP10,65535,3
533,MSP5,65535,3
533,MTRAP,65535,3
533,PF113,65535,3
533,H101,65535,1
533,PF3D7-1431400,65535,1
533,RHOPH3,65535,1
533,MSRP3,65535,1
533,PF13_0125,25751,1
533,RH5,65535,1
533,SERA4,65535,1
533,AARP,13368,1
533,H101,65535,2
533,PF3D7-1431400,65535,2
533,RHOPH3,65535,2
533,MSRP3,65535,2
533,PF13_0125,23982,2
533,RH5,65535,2
533,SERA4,65535,2
533,AARP,13290,2
533,H101,65535,3
533,PF3D7-1431400,65535,3
533,RHOPH3,65535,3
533,MSRP3,65535,3
533,PF13_0125,17389,3
533,RH5,65535,3
533,SERA4,65535,3
533,AARP,12920,3
533,RH1,65535,1
533,MSP3.5,65535,1
533,PFA0210c,65535,1
533,P38,65535,1
533,CLAG3.2,65535,1
533,RH2b,57393,1
533,PFA0445W,65535,1
533,PF3D7_1343700(KELCH),13136,1
533,RH1,65535,2
533,MSP3.5,65535,2
533,PFA0210c,65535,2
533,P38,65535,2
533,CLAG3.2,65535,2
533,RH2b,54626,2
533,PFA0445W,65535,2
533,PF3D7_1343700(KELCH),11627,2
533,RH1,65535,3
533,MSP3.5,65535,3
533,PFA0210c,65535,3
533,P38,65535,3
533,CLAG3.2,65535,3
533,RH2b,56876,3
533,PFA0445W,65535,3
533,PF3D7_1343700(KELCH),12119,3
533,PF3D7_1401600(PHISTB),65535,1
533,PF3D7-1137300,64777,1
533,PF3D7_0830500,39925,1
533,PF3D7_1462300,40221,1
533,PF3D7_1229300,65535,1
533,PF3D7_1237900,13590,1
533,PF3D7_1252300,12271,1
533,PF3D7_0629500_SEG1,41371,1
533,PF3D7_1401600(PHISTB),65535,2
533,PF3D7-1137300,65535,2
533,PF3D7_0830500,40589,2
533,PF3D7_1462300,42208,2
533,PF3D7_1229300,65535,2
533,PF3D7_1237900,13818,2
533,PF3D7_1252300,12116,2
533,PF3D7_0629500_SEG1,44375,2
533,PF3D7_1401600(PHISTB),65535,3
533,PF3D7-1137300,65535,3
533,PF3D7_0830500,57675,3
533,PF3D7_1462300,39600,3
533,PF3D7_1229300,65535,3
533,PF3D7_1237900,16684,3
533,PF3D7_1252300,12593,3
533,PF3D7_0629500_SEG1,44457,3
533,MSP1Block2PaloAltorepeat,65535,1
533,MSP1Block23D7full,65535,1
533,MSP1Block2MAD20repeat,65535,1
533,MSP2CHO,65535,1
533,MBP,65535,1
533,MSP2DD2,65535,1
533,MSP33D7,65535,1
533,MSP1Block17,65535,1
533,MSP1Block2PaloAltorepeat,65535,2
533,MSP1Block23D7full,65535,2
533,MSP1Block2MAD20repeat,19815,2
533,MSP2CHO,65535,2
533,MBP,65535,2
533,MSP2DD2,65535,2
533,MSP33D7,65535,2
533,MSP1Block17,65535,2
533,MSP1Block2PaloAltorepeat,65535,3
533,MSP1Block23D7full,65535,3
533,MSP1Block2MAD20repeat,20182,3
533,MSP2CHO,65535,3
533,MBP,65535,3
533,MSP2DD2,65535,3
533,MSP33D7,65535,3
533,MSP1Block17,65535,3
533,Surfin4.2K1A,65535,1
533,Surfin4.23D7A,65535,1
533,MSPDBL2N-terminal,65535,1
533,MSP1Block2R033,65535,1
533,MSPDBL2C-terminal,65535,1
533,Surfin4.23D7B,26623,1
533,MSP1Block23D7repeat,65535,1
533,MSP1Block2Wellcomerepeat,65535,1
533,Surfin4.2K1A,65535,2
533,Surfin4.23D7A,65535,2
533,MSPDBL2N-terminal,65535,2
533,MSP1Block2R033,65535,2
533,MSPDBL2C-terminal,65535,2
533,Surfin4.23D7B,38572,2
533,MSP1Block23D7repeat,65535,2
533,MSP1Block2Wellcomerepeat,65535,2
533,Surfin4.2K1A,65535,3
533,Surfin4.23D7A,65535,3
533,MSPDBL2N-terminal,65535,3
533,MSP1Block2R033,65535,3
533,MSPDBL2C-terminal,65535,3
533,Surfin4.23D7B,34390,3
533,MSP1Block23D7repeat,65535,3
533,MSP1Block2Wellcomerepeat,65535,3
533,CommercialHumanIgG,65535,1
533,CommercialHumanIgG,65535,2
533,CommercialHumanIgG,65535,3
0.23,MSP3.6,2788,1
0.23,ETRAMP10.2,1728,1
0.23,GAMA,1215,1
0.23,MSRP4,1069,1
0.23,MSP4,1289,1
0.23,RAMA,1982,1
0.23,ASP,5748,1
0.23,MSP3.6,3942,2
0.23,ETRAMP10.2,2397,2
0.23,GAMA,1336,2
0.23,MSRP4,950,2
0.23,MSP4,1171,2
0.23,RAMA,1114,2
0.23,ASP,1289,2
0.23,MSP3.6,3780,3
0.23,ETRAMP10.2,2162,3
0.23,GAMA,1269,3
0.23,MSRP4,1019,3
0.23,MSP4,1210,3
0.23,RAMA,1269,3
0.23,ASP,1470,3
0.23,PFD1130W,8287,1
0.23,EBA140,2051,1
0.23,MSRP2,1366,1
0.23,MSRP5,719,1
0.23,P34,640,1
0.23,MSP8,732,1
0.23,P12,1295,1
0.23,MSP6,777,1
0.23,PFD1130W,1245,2
0.23,EBA140,1265,2
0.23,MSRP2,979,2
0.23,MSRP5,637,2
0.23,P34,632,2
0.23,MSP8,712,2
0.23,P12,767,2
0.23,MSP6,708,2
0.23,PFD1130W,751,3
0.23,EBA140,600,3
0.23,MSRP2,829,3
0.23,MSRP5,605,3
0.23,P34,613,3
0.23,MSP8,722,3
0.23,P12,876,3
0.23,MSP6,773,3
0.23,PF1400044,998,1
0.23,MSP1,971,1
0.23,RON6,1158,1
0.23,MSP9,739,1
0.23,PTEX150,801,1
0.23,SERA7,1272,1
0.23,MSP2,969,1
0.23,SERA3,958,1
0.23,PF1400044,962,2
0.23,MSP1,920,2
0.23,RON6,1073,2
0.23,MSP9,714,2
0.23,PTEX150,784,2
0.23,SERA7,1264,2
0.23,MSP2,869,2
0.23,SERA3,867,2
0.23,PF1400044,979,3
0.23,MSP1,961,3
0.23,RON6,1172,3
0.23,MSP9,712,3
0.23,PTEX150,829,3
0.23,SERA7,1358,3
0.23,MSP2,922,3
0.23,SERA3,1001,3
0.23,P41,622,1
0.23,RON3,1012,1
0.23,PF92,716,1
0.23,MSRP1,774,1
0.23,EBA175,793,1
0.23,TLP,669,1
0.23,PF3D7_0606800,626,1
0.23,PFA0135W,578,1
0.23,P41,615,2
0.23,RON3,980,2
0.23,PF92,736,2
0.23,MSRP1,753,2
0.23,EBA175,777,2
0.23,TLP,686,2
0.23,PF3D7_0606800,581,2
0.23,PFA0135W,582,2
0.23,P41,737,3
0.23,RON3,1014,3
0.23,PF92,733,3
0.23,MSRP1,777,3
0.23,EBA175,830,3
0.23,TLP,706,3
0.23,PF3D7_0606800,612,3
0.23,PFA0135W,562,3
0.23,PF3D7_0525800(IMC1g),1173,1
