sampleID,antigen,FMedian,replicate
J0368,MSP3.6,4358,1
J0368,ETRAMP10.2,1969,1
J0368,GAMA,17770,1
J0368,MSRP4,13623,1
J0368,MSP4,13570,1
J0368,RAMA,6960,1
J0368,ASP,14736,1
J0368,MSP3.6,3569,2
J0368,ETRAMP10.2,1959,2
J0368,GAMA,18736,2
J0368,MSRP4,12511,2
J0368,MSP4,12807,2
J0368,RAMA,7084,2
J0368,ASP,16530,2
J0368,MSP3.6,2115,3
J0368,ETRAMP10.2,1889,3
J0368,GAMA,15871,3
J0368,MSRP4,10139,3
J0368,MSP4,11467,3
J0368,RAMA,9724,3
J0368,ASP,11428,3
J0368,PFD1130W,4453,1
J0368,EBA140,1122,1
J0368,MSRP2,2671,1
J0368,MSRP5,1007,1
J0368,P34,1013,1
J0368,MSP8,8639,1
J0368,P12,1751,1
J0368,MSP6,2404,1
J0368,PFD1130W,2883,2
J0368,EBA140,949,2
J0368,MSRP2,1838,2
J0368,MSRP5,1083,2
J0368,P34,1045,2
J0368,MSP8,7871,2
J0368,P12,1799,2
J0368,MSP6,2497,2
J0368,PFD1130W,2160,3
J0368,EBA140,606,3
J0368,MSRP2,671,3
J0368,MSRP5,1077,3
J0368,P34,1195,3
J0368,MSP8,7171,3
J0368,P12,2078,3
J0368,MSP6,1972,3
J0368,PF1400044,3880,1
J0368,MSP1,4767,1
J0368,RON6,2792,1
J0368,MSP9,3741,1
J0368,PTEX150,19840,1
J0368,SERA7,3538,1
J0368,MSP2,41245,1
J0368,SERA3,9173,1
J0368,PF1400044,2785,2
J0368,MSP1,4829,2
J0368,RON6,2651,2
J0368,MSP9,2460,2
J0368,PTEX150,24855,2
J0368,SERA7,3471,2
J0368,MSP2,46129,2
J0368,SERA3,8348,2
J0368,PF1400044,2149,3
J0368,MSP1,4297,3
J0368,RON6,2778,3
J0368,MSP9,2560,3
J0368,PTEX150,23998,3
J0368,SERA7,2679,3
J0368,MSP2,37151,3
J0368,SERA3,7021,3
J0368,P41,1056,1
J0368,RON3,4612,1
J0368,PF92,4065,1
J0368,MSRP1,65535,1
J0368,EBA175,5105,1
J0368,TLP,4140,1
J0368,PF3D7_0606800,1324,1
J0368,PFA0135W,1805,1
J0368,P41,1257,2
J0368,RON3,3928,2
J0368,PF92,3717,2
J0368,MSRP1,65535,2
J0368,EBA175,6136,2
J0368,TLP,3093,2
J0368,PF3D7_0606800,1260,2
J0368,PFA0135W,1726,2
J0368,P41,910,3
J0368,RON3,4293,3
J0368,PF92,3550,3
J0368,MSRP1,65535,3
J0368,EBA175,6586,3
J0368,TLP,2870,3
J0368,PF3D7_0606800,1080,3
J0368,PFA0135W,1619,3
J0368,PF3D7_0525800(IMC1g),7895,1
J0368,PF3D7_1460600(ISP3),3686,1
J0368,PF3D7_1455300,2948,1
J0368,PF3D7_1025300,784,1
J0368,PF3D7_0925900,1813,1
J0368,PF3D7_0831400,4175,1
J0368,PF3D7_0730800.2,65535,1
J0368,PF3D7_1407800(PM4),626,1
J0368,PF3D7_0525800(IMC1g),8207,2
J0368,PF3D7_1460600(ISP3),3762,2
J0368,PF3D7_1455300,2354,2
J0368,PF3D7_1025300,590,2
J0368,PF3D7_0925900,2022,2
J0368,PF3D7_0831400,4228,2
J0368,PF3D7_0730800.2,65535,2
J0368,PF3D7_1407800(PM4),614,2
J0368,PF3D7_0525800(IMC1g),8063,3
