.id,sampleID,sample_array_ID,antigen,FMedian,BGMedian,FMedianBG_correct,Block,Column,Row,replicate,iden
KK2-05_first,533,1,Landmark,65535,14185,51350,1,1,1,1,KK2-05_first
KK2-05_first,533,1,MSP3.6,65535,12688,52847,1,2,1,1,KK2-05_first
KK2-05_first,533,1,ETRAMP10.2,65535,11987,53548,1,3,1,1,KK2-05_first
KK2-05_first,533,1,GAMA,65535,11835,53700,1,4,1,1,KK2-05_first
KK2-05_first,533,1,MSRP4,65535,11891,53644,1,5,1,1,KK2-05_first
KK2-05_first,533,1,MSP4,65535,11862,53673,1,6,1,1,KK2-05_first
KK2-05_first,533,1,RAMA,65535,11195,54340,1,7,1,1,KK2-05_first
KK2-05_first,533,1,ASP,65535,10428,55107,1,8,1,1,KK2-05_first
KK2-05_first,533,1,Landmark,65535,19688,45847,1,1,2,2,KK2-05_first
KK2-05_first,533,1,MSP3.6,65535,14018,51517,1,2,2,2,KK2-05_first
KK2-05_first,533,1,ETRAMP10.2,65535,12647,52888,1,3,2,2,KK2-05_first
KK2-05_first,533,1,GAMA,65535,12773,52762,1,4,2,2,KK2-05_first
KK2-05_first,533,1,MSRP4,65535,13286,52249,1,5,2,2,KK2-05_first
KK2-05_first,533,1,MSP4,65535,15366,50169,1,6,2,2,KK2-05_first
KK2-05_first,533,1,RAMA,65535,14596,50939,1,7,2,2,KK2-05_first
KK2-05_first,533,1,ASP,65535,12522,53013,1,8,2,2,KK2-05_first
KK2-05_first,533,1,Landmark,65535,20916,44619,1,1,3,3,KK2-05_first
KK2-05_first,533,1,MSP3.6,65535,15601,49934,1,2,3,3,KK2-05_first
KK2-05_first,533,1,ETRAMP10.2,65535,13575,51960,1,3,3,3,KK2-05_first
KK2-05_first,533,1,GAMA,65535,13509,52026,1,4,3,3,KK2-05_first
KK2-05_first,533,1,MSRP4,65535,13879,51656,1,5,3,3,KK2-05_first
KK2-05_first,533,1,MSP4,65535,16470,49065,1,6,3,3,KK2-05_first
KK2-05_first,533,1,RAMA,65535,15780,49755,1,7,3,3,KK2-05_first
KK2-05_first,533,1,ASP,65535,13400,52135,1,8,3,3,KK2-05_first
KK2-05_first,533,1,PFD1130W,65535,17732,47803,1,1,4,1,KK2-05_first
KK2-05_first,533,1,EBA140,65535,16446,49089,1,2,4,1,KK2-05_first
KK2-05_first,533,1,MSRP2,22635,14774,7861,1,3,4,1,KK2-05_first
KK2-05_first,533,1,MSRP5,29582,14107,15475,1,4,4,1,KK2-05_first
KK2-05_first,533,1,P34,32390,13879,18511,1,5,4,1,KK2-05_first
KK2-05_first,533,1,MSP8,65535,15772,49763,1,6,4,1,KK2-05_first
KK2-05_first,533,1,P12,65535,15073,50462,1,7,4,1,KK2-05_first
KK2-05_first,533,1,MSP6,65535,13276,52259,1,8,4,1,KK2-05_first
KK2-05_first,533,1,PFD1130W,65535,17154,48381,1,1,5,2,KK2-05_first
KK2-05_first,533,1,EBA140,65535,17419,48116,1,2,5,2,KK2-05_first
KK2-05_first,533,1,MSRP2,24160,16099,8061,1,3,5,2,KK2-05_first
KK2-05_first,533,1,MSRP5,36689,14580,22109,1,4,5,2,KK2-05_first
KK2-05_first,533,1,P34,43072,13838,29234,1,5,5,2,KK2-05_first
KK2-05_first,533,1,MSP8,65535,14225,51310,1,6,5,2,KK2-05_first
KK2-05_first,533,1,P12,65535,13689,51846,1,7,5,2,KK2-05_first
KK2-05_first,533,1,MSP6,65535,13071,52464,1,8,5,2,KK2-05_first
KK2-05_first,533,1,PFD1130W,65535,19346,46189,1,1,6,3,KK2-05_first
KK2-05_first,533,1,EBA140,25541,22001,3540,1,2,6,3,KK2-05_first
KK2-05_first,533,1,MSRP2,19158,18271,887,1,3,6,3,KK2-05_first
KK2-05_first,533,1,MSRP5,34071,15588,18483,1,4,6,3,KK2-05_first
KK2-05_first,533,1,P34,43707,14421,29286,1,5,6,3,KK2-05_first
KK2-05_first,533,1,MSP8,65535,13854,51681,1,6,6,3,KK2-05_first
