sampleID,antigen,FMedian,replicate
J0119,MSP3.6,6129,1
J0119,ETRAMP10.2,3695,1
J0119,GAMA,21143,1
J0119,MSRP4,65535,1
J0119,MSP4,65535,1
J0119,RAMA,10362,1
J0119,ASP,29414,1
J0119,MSP3.6,5239,2
J0119,ETRAMP10.2,3582,2
J0119,GAMA,21078,2
J0119,MSRP4,65535,2
J0119,MSP4,65535,2
J0119,RAMA,11223,2
J0119,ASP,35740,2
J0119,MSP3.6,3674,3
J0119,ETRAMP10.2,3147,3
J0119,GAMA,18112,3
J0119,MSRP4,65535,3
J0119,MSP4,65535,3
J0119,RAMA,8095,3
J0119,ASP,25550,3
J0119,PFD1130W,2964,1
J0119,EBA140,15043,1
J0119,MSRP2,1325,1
J0119,MSRP5,1126,1
J0119,P34,1941,1
J0119,MSP8,9687,1
J0119,P12,3443,1
J0119,MSP6,20605,1
J0119,PFD1130W,2973,2
J0119,EBA140,12864,2
J0119,MSRP2,1239,2
J0119,MSRP5,1229,2
J0119,P34,1482,2
J0119,MSP8,10327,2
J0119,P12,3578,2
J0119,MSP6,21579,2
J0119,PFD1130W,2251,3
J0119,EBA140,953,3
J0119,MSRP2,777,3
J0119,MSRP5,1246,3
J0119,P34,1532,3
J0119,MSP8,7795,3
J0119,P12,3131,3
J0119,MSP6,20176,3
J0119,PF1400044,5203,1
J0119,MSP1,41407,1
J0119,RON6,4112,1
J0119,MSP9,3457,1
J0119,PTEX150,35559,1
J0119,SERA7,8399,1
J0119,MSP2,65535,1
J0119,SERA3,14833,1
J0119,PF1400044,5628,2
J0119,MSP1,46789,2
J0119,RON6,4446,2
J0119,MSP9,3606,2
J0119,PTEX150,44035,2
J0119,SERA7,8126,2
J0119,MSP2,65535,2
J0119,SERA3,17058,2
J0119,PF1400044,5064,3
J0119,MSP1,42467,3
J0119,RON6,3925,3
J0119,MSP9,4630,3
J0119,PTEX150,38268,3
J0119,SERA7,6823,3
J0119,MSP2,65535,3
J0119,SERA3,11963,3
J0119,P41,3022,1
J0119,RON3,8281,1
J0119,PF92,7122,1
J0119,MSRP1,65535,1
J0119,EBA175,65535,1
J0119,TLP,7536,1
J0119,PF3D7_0606800,2194,1
J0119,PFA0135W,2600,1
J0119,P41,3793,2
J0119,RON3,9602,2
J0119,PF92,7393,2
J0119,MSRP1,65535,2
J0119,EBA175,65535,2
J0119,TLP,8135,2
J0119,PF3D7_0606800,2000,2
J0119,PFA0135W,2603,2
J0119,P41,3651,3
J0119,RON3,9031,3
J0119,PF92,6595,3
J0119,MSRP1,65535,3
J0119,EBA175,65535,3
J0119,TLP,7948,3
J0119,PF3D7_0606800,1988,3
J0119,PFA0135W,2422,3
J0119,PF3D7_0525800(IMC1g),10426,1
J0119,PF3D7_1460600(ISP3),5866,1
J0119,PF3D7_1455300,4018,1
J0119,PF3D7_1025300,1903,1
J0119,PF3D7_0925900,2618,1
J0119,PF3D7_0831400,8191,1
J0119,PF3D7_0730800.2,65535,1
J0119,PF3D7_1407800(PM4),862,1
J0119,PF3D7_0525800(IMC1g),11764,2
J0119,PF3D7_1460600(ISP3),7094,2
J0119,PF3D7_1455300,3748,2
J0119,PF3D7_1025300,803,2
J0119,PF3D7_0925900,2444,2
J0119,PF3D7_0831400,8005,2
J0119,PF3D7_0730800.2,65535,2
J0119,PF3D7_1407800(PM4),829,2
J0119,PF3D7_0525800(IMC1g),9953,3
J0119,PF3D7_1460600(ISP3),6025,3
J0119,PF3D7_1455300,3924,3
J0119,PF3D7_1025300,741,3
J0119,PF3D7_0925900,2471,3
J0119,PF3D7_0831400,8005,3
J0119,PF3D7_0730800.2,65535,3
J0119,PF3D7_1407800(PM4),816,3
J0119,PF3D7_0629500_SEG2,29849,1
J0119,PF3D7_1345100,5951,1
J0119,PF3D7_0206200,6003,1
J0119,PF3D7_1105800,6426,1
J0119,PTRAMP,9834,1
J0119,EBA181,6637,1
J0119,CD4TAG,3421,1
J0119,SERA2,8332,1
J0119,PF3D7_0629500_SEG2,30059,2
J0119,PF3D7_1345100,6591,2
J0119,PF3D7_0206200,6037,2
J0119,PF3D7_1105800,5925,2
J0119,PTRAMP,9411,2
J0119,EBA181,6580,2
