sampleID,antigen,FMedian,replicate
SID_gen1,AlexaAntiMouseAb~N/A,5755,1
SID_gen1,AlexaAntiMouseAb~N/A,6373,2
SID_gen1,ERa~N/A,1322,1
SID_gen1,ERa~N/A,1310,2
SID_gen1,HumanIgG1~N/A,574,1
SID_gen1,HumanIgG1~N/A,415,2
SID_gen1,HumanIgG2~N/A,1084,1
SID_gen1,HumanIgG2~N/A,1171,2
SID_gen1,HumanIgG3~N/A,7173,1
SID_gen1,HumanIgG3~N/A,6326,2
SID_gen1,HumanIgA2~N/A,1545,1
SID_gen1,HumanIgA2~N/A,1752,2
SID_gen1,HumanIgA1~N/A,577,1
SID_gen1,HumanIgA1~N/A,630,2
SID_gen1,BSA~N/A,400,1
SID_gen1,BSA~N/A,503,2
SID_gen1,Hs~RefNM_000880.2~uORFIOH26652~RFU6263.27,606,1
SID_gen1,Hs~RefNM_000880.2~uORFIOH26652~RFU5848.75,557,1
SID_gen1,Hs~RefNM_002061.1~uORFIOH25898~RFU22961.28,650,1
SID_gen1,Hs~RefNM_002061.1~uORFIOH25898~RFU21839.05,740,1
SID_gen1,Hs~MGCBC010074.2~uORFIOH13694~RFU23288.85,1593,1
SID_gen1,Hs~MGCBC010074.2~uORFIOH13694~RFU24081.49,1390,1
SID_gen1,Hs~RefNM_014042.1~uORFIOH5151~RFU18004.25,702,1
SID_gen1,Hs~RefNM_014042.1~uORFIOH5151~RFU18037.61,712,1
SID_gen1,Internal_19970,1953,1
SID_gen1,Internal_19970,2141,2
SID_gen1,Hs~RefNM_006163.1~uORFIOH6673~RFU22831.87,1140,1
SID_gen1,Hs~RefNM_006163.1~uORFIOH6673~RFU23331.31,1176,1
SID_gen1,Hs~RefNM_000849.1~uORFIOH4761~RFU0,47,1
SID_gen1,Hs~RefNM_000849.1~uORFIOH4761~RFU0,46,2
SID_gen1,Hs~MGCBC000052.1~uORFIOH4650~RFU24346.38,1265,1
SID_gen1,Hs~MGCBC000052.1~uORFIOH4650~RFU26507.94,1365,1
