sampleID,antigen,FMedian,replicate
SID_gen1,AlexaAntiMouseAb~N/A,7755,1
SID_gen1,AlexaAntiMouseAb~N/A,7221,2
SID_gen1,ERa~N/A,2593,1
SID_gen1,ERa~N/A,2695,2
SID_gen1,HumanIgG1~N/A,585,1
SID_gen1,HumanIgG1~N/A,586,2
SID_gen1,HumanIgG2~N/A,1104,1
SID_gen1,HumanIgG2~N/A,1162,2
SID_gen1,HumanIgG3~N/A,8202,1
SID_gen1,HumanIgG3~N/A,9027,2
SID_gen1,HumanIgA2~N/A,2366,1
SID_gen1,HumanIgA2~N/A,2665,2
SID_gen1,HumanIgA1~N/A,701,1
SID_gen1,HumanIgA1~N/A,709,2
SID_gen1,BSA~N/A,429,1
SID_gen1,BSA~N/A,396,2
SID_gen1,Hs~RefNM_000880.2~uORFIOH26652~RFU6263.27,419,1
SID_gen1,Hs~RefNM_000880.2~uORFIOH26652~RFU5848.75,403,1
SID_gen1,Hs~RefNM_002061.1~uORFIOH25898~RFU22961.28,447,1
SID_gen1,Hs~RefNM_002061.1~uORFIOH25898~RFU21839.05,499,1
SID_gen1,Hs~MGCBC010074.2~uORFIOH13694~RFU23288.85,1142,1
SID_gen1,Hs~MGCBC010074.2~uORFIOH13694~RFU24081.49,1005,1
SID_gen1,Hs~RefNM_014042.1~uORFIOH5151~RFU18004.25,415,1
SID_gen1,Hs~RefNM_014042.1~uORFIOH5151~RFU18037.61,569,1
SID_gen1,Internal_19970,2140,1
SID_gen1,Internal_19970,2028,2
SID_gen1,Hs~RefNM_006163.1~uORFIOH6673~RFU22831.87,948,1
SID_gen1,Hs~RefNM_006163.1~uORFIOH6673~RFU23331.31,930,1
SID_gen1,Hs~RefNM_000849.1~uORFIOH4761~RFU0,60,1
SID_gen1,Hs~RefNM_000849.1~uORFIOH4761~RFU0,63,2
SID_gen1,Hs~MGCBC000052.1~uORFIOH4650~RFU24346.38,590,1
SID_gen1,Hs~MGCBC000052.1~uORFIOH4650~RFU26507.94,602,1
SID_gen1,Hs~MGCBC005332.1~uORFIOH7177~RFU11377.01,7083,1
SID_gen1,Hs~MGCBC005332.1~uORFIOH7177~RFU12187.85,7602,1
SID_gen1,Hs~RefNM_004596.1~uORFIOH6628~RFU25244.16,1408,1
SID_gen1,Hs~RefNM_004596.1~uORFIOH6628~RFU24507.13,1371,1
SID_gen1,Hs~RefNM_006399.2~uORFIOH21626~RFU0,62,1
SID_gen1,Hs~RefNM_006399.2~uORFIOH21626~RFU0,64,2
SID_gen1,Hs~RefNM_152285.1~uORFIOH21698~RFU14967.14,1049,1
SID_gen1,Hs~RefNM_152285.1~uORFIOH21698~RFU14939.84,983,1
SID_gen1,Hs~MGCBC033437.1~uORFIOH27326~RFU15832.58,4012,1
SID_gen1,Hs~MGCBC033437.1~uORFIOH27326~RFU15806.29,3464,1
SID_gen1,Hs~MGCBC030524.1~uORFIOH21689~RFU0,60,1
SID_gen1,Hs~MGCBC030524.1~uORFIOH21689~RFU0,64,2
SID_gen1,Hs~RefNM_005567.2~uORFIOH3566~RFU1795.57,434,1
SID_gen1,Hs~RefNM_005567.2~uORFIOH3566~RFU2052.79,417,1
SID_gen1,Hs~RefNM_020854.2~uORFIOH9686~RFU15479.73,1164,1
SID_gen1,Hs~RefNM_020854.2~uORFIOH9686~RFU17863.71,1101,1
SID_gen1,Hs~MGCBC068448.1~uORFIOH40093~RFU36391.67,706,1
SID_gen1,Hs~MGCBC068448.1~uORFIOH40093~RFU36052.98,782,1
SID_gen1,Hs~RefNM_006078.2~uORFIOH40316~RFU12233.34,532,1
SID_gen1,Hs~RefNM_006078.2~uORFIOH40316~RFU12495.2,581,1
SID_gen1,Hs~MGCBC062344.1~uORFIOH40702~RFU3352.54,457,1
SID_gen1,Hs~MGCBC062344.1~uORFIOH40702~RFU3284.8,440,1
SID_gen1,Hs~MGCBC062422.1~uORFIOH40746~RFU4512.18,476,1
SID_gen1,Hs~MGCBC062422.1~uORFIOH40746~RFU4623.4,562,1
SID_gen1,Hs~RefNM_015568.2~uORFIOH37988~RFU2363.77,516,1
SID_gen1,Hs~RefNM_015568.2~uORFIOH37988~RFU2797.49,2270,1
SID_gen1,Hs~RefNM_178275.3~uORFIOH38420~RFU8576.48,1254,1
SID_gen1,Hs~RefNM_178275.3~uORFIOH38420~RFU7843.49,399,1
SID_gen1,Hs~RefNM_020662.1~uORFIOH37719~RFU3563.85,625,1
SID_gen1,Hs~RefNM_020662.1~uORFIOH37719~RFU3332.32,627,1
SID_gen1,Hs~RefNM_000879.2~uORFIOH40150~RFU11821.86,345,1
SID_gen1,Hs~RefNM_000879.2~uORFIOH40150~RFU10069.16,297,1
SID_gen1,Hs~MGCBC069505.1~uORFIOH40261~RFU37801.03,481,1
SID_gen1,Hs~MGCBC069505.1~uORFIOH40261~RFU35777.98,383,1
SID_gen1,Hs~RefNM_205853.1~uORFIOH43061~RFU32322.5,23720,1
SID_gen1,Hs~RefNM_205853.1~uORFIOH43061~RFU33068.23,22306,1
SID_gen1,Hs~RefXM_379117.1~uORFIOH43619~RFU18591.65,1418,1
SID_gen1,Hs~RefXM_379117.1~uORFIOH43619~RFU19900.88,1308,1
SID_gen1,Hs~RefNM_000609.3~uORFIOH40945~RFU13178.88,473,1
SID_gen1,Hs~RefNM_000609.3~uORFIOH40945~RFU13503.18,462,1
SID_gen1,Hs~RefNM_173456.1~uORFIOH45493~RFU10085.94,531,1
SID_gen1,Hs~RefNM_173456.1~uORFIOH45493~RFU11343.94,581,1
SID_gen1,Hs~RefNM_177524.1~uORFIOH45900~RFU16154.08,1252,1
SID_gen1,Hs~RefNM_177524.1~uORFIOH45900~RFU18975.84,1240,1
SID_gen1,Hs~RefNM_170672.1~uORFIOH27295~RFU30551.01,746,1
SID_gen1,Hs~RefNM_170672.1~uORFIOH27295~RFU46088.36,819,1
SID_gen1,Hs~MGCBC054004.1~uORFIOH29012~RFU43392.12,783,1
SID_gen1,Hs~MGCBC054004.1~uORFIOH29012~RFU42432,704,1
SID_gen1,Hs~MGCBC041132.1~uORFIOH26140~RFU10604.59,533,1
SID_gen1,Hs~MGCBC041132.1~uORFIOH26140~RFU9042.19,610,1
SID_gen1,Hs~RefNM_203422.1~uORFIOH29035~RFU17725.91,630,1
SID_gen1,Hs~RefNM_203422.1~uORFIOH29035~RFU19331.49,618,1
SID_gen1,Hs~RefNM_139016.2~uORFIOH27635~RFU37974.93,4240,1
SID_gen1,Hs~RefNM_139016.2~uORFIOH27635~RFU36539.28,4083,1
SID_gen1,Hs~RefNM_000061.1~N/A~RFU27570.52,1123,1
SID_gen1,Hs~RefNM_000061.1~N/A~RFU44817.51,1090,1
SID_gen1,Hs~RefNM_001433.1~N/A~RFU3974.32,427,1
SID_gen1,Hs~RefNM_001433.1~N/A~RFU4237.19,503,1
SID_gen1,Hs~RefNM_002753.2~N/A~RFU0,60,1
SID_gen1,Hs~RefNM_002753.2~N/A~RFU9.22,60,1
SID_gen1,Hs~RefNM_001315.1~N/A~RFU0,62,1
SID_gen1,Hs~RefNM_001315.1~N/A~RFU0,59,2
SID_gen1,Hs~RefNM_004448.1~N/A~RFU9604.66,546,1
SID_gen1,Hs~RefNM_004448.1~N/A~RFU8841.37,548,1
SID_gen2,AlexaAntiMouseAb~N/A,9651,1
SID_gen2,AlexaAntiMouseAb~N/A,8438,2
SID_gen2,ERa~N/A,1765,1
SID_gen2,ERa~N/A,1791,2
SID_gen2,HumanIgG1~N/A,469,1
SID_gen2,HumanIgG1~N/A,470,2
SID_gen2,HumanIgG2~N/A,1338,1
SID_gen2,HumanIgG2~N/A,1401,2
SID_gen2,HumanIgG3~N/A,9038,1
SID_gen2,HumanIgG3~N/A,8849,2
SID_gen2,HumanIgA2~N/A,2751,1
SID_gen2,HumanIgA2~N/A,2410,2
SID_gen2,HumanIgA1~N/A,627,1
SID_gen2,HumanIgA1~N/A,663,2
SID_gen2,BSA~N/A,343,1
SID_gen2,BSA~N/A,356,2
SID_gen2,Hs~RefNM_014741.2~uORFIOH3624~RFU17462.34,560,1
SID_gen2,Hs~RefNM_014741.2~uORFIOH3624~RFU17228.79,553,1
SID_gen2,Hs~MGCBC002701.2~uORFIOH5296~RFU10870.22,621,1
SID_gen2,Hs~MGCBC002701.2~uORFIOH5296~RFU11511.07,655,1
SID_gen2,Hs~RefNM_032354.1~uORFIOH6348~RFU48763.52,623,1
SID_gen2,Hs~RefNM_032354.1~uORFIOH6348~RFU46619.15,637,1
SID_gen2,Hs~MGCNM_174896.2~uORFIOH23052~RFU23534.53,454,1
SID_gen2,Hs~MGCNM_174896.2~uORFIOH23052~RFU25114.75,498,1
SID_gen2,Hs~RefNM_002964.3~uORFIOH7407~RFU33706.4,847,1
SID_gen2,Hs~RefNM_002964.3~uORFIOH7407~RFU31776.36,940,1
SID_gen2,Hs~MGCBC038934.1~uORFIOH27574~RFU9.22,68,1
SID_gen2,Hs~MGCBC038934.1~uORFIOH27574~RFU0,63,1
SID_gen2,Hs~MGCBC040516.1~uORFIOH27501~RFU0,71,1
SID_gen2,Hs~MGCBC040516.1~uORFIOH27501~RFU0,67,2
SID_gen2,Hs~MGCBC036923.1~uORFIOH25928~RFU27543.22,1100,1
SID_gen2,Hs~MGCBC036923.1~uORFIOH25928~RFU28647.26,1064,1
SID_gen2,Hs~MGCNM_173545.1~uORFIOH26160~RFU29404.51,702,1
SID_gen2,Hs~MGCNM_173545.1~uORFIOH26160~RFU29535.94,725,1
SID_gen2,Hs~MGCBC040949.1~uORFIOH26268~RFU35491.86,1923,1
SID_gen2,Hs~MGCBC040949.1~uORFIOH26268~RFU35666.77,2084,1
SID_gen2,Hs~MGCBC019883.1~uORFIOH11101~RFU17911.23,382,1
SID_gen2,Hs~MGCBC019883.1~uORFIOH11101~RFU19140.63,465,1
SID_gen2,Hs~RefNM_000499.2~uORFIOH10675~RFU3874.23,342,1
SID_gen2,Hs~RefNM_000499.2~uORFIOH10675~RFU3325.27,272,1
SID_gen2,Hs~MGCBC016853.1~uORFIOH10348~RFU6489.17,256,1
