sampleID,antigen,FMedian,replicate
SID_gen1,AlexaAntiMouseAb~N/A,10893,1
SID_gen1,AlexaAntiMouseAb~N/A,10899,2
SID_gen1,ERa~N/A,9613,1
SID_gen1,ERa~N/A,9506,2
SID_gen1,HumanIgG1~N/A,551,1
SID_gen1,HumanIgG1~N/A,591,2
SID_gen1,HumanIgG2~N/A,1486,1
SID_gen1,HumanIgG2~N/A,1395,2
SID_gen1,HumanIgG3~N/A,9071,1
SID_gen1,HumanIgG3~N/A,9636,2
SID_gen1,HumanIgA2~N/A,2897,1
SID_gen1,HumanIgA2~N/A,2830,2
SID_gen1,HumanIgA1~N/A,793,1
SID_gen1,HumanIgA1~N/A,762,2
SID_gen1,BSA~N/A,1416,1
SID_gen1,BSA~N/A,1370,2
SID_gen1,Hs~RefNM_000880.2~uORFIOH26652~RFU6263.27,534,1
SID_gen1,Hs~RefNM_000880.2~uORFIOH26652~RFU5848.75,515,1
SID_gen1,Hs~RefNM_002061.1~uORFIOH25898~RFU22961.28,649,1
SID_gen1,Hs~RefNM_002061.1~uORFIOH25898~RFU21839.05,636,1
SID_gen1,Hs~MGCBC010074.2~uORFIOH13694~RFU23288.85,1258,1
SID_gen1,Hs~MGCBC010074.2~uORFIOH13694~RFU24081.49,1247,1
SID_gen1,Hs~RefNM_014042.1~uORFIOH5151~RFU18004.25,817,1
SID_gen1,Hs~RefNM_014042.1~uORFIOH5151~RFU18037.61,809,1
SID_gen1,Internal_19970,5466,1
SID_gen1,Internal_19970,5527,2
SID_gen1,Hs~RefNM_006163.1~uORFIOH6673~RFU22831.87,724,1
SID_gen1,Hs~RefNM_006163.1~uORFIOH6673~RFU23331.31,717,1
SID_gen1,Hs~RefNM_000849.1~uORFIOH4761~RFU0,62,1
SID_gen1,Hs~RefNM_000849.1~uORFIOH4761~RFU0,61,2
SID_gen1,Hs~MGCBC000052.1~uORFIOH4650~RFU24346.38,809,1
SID_gen1,Hs~MGCBC000052.1~uORFIOH4650~RFU26507.94,813,1
SID_gen1,Hs~MGCBC005332.1~uORFIOH7177~RFU11377.01,8766,1
SID_gen1,Hs~MGCBC005332.1~uORFIOH7177~RFU12187.85,8857,1
SID_gen1,Hs~RefNM_004596.1~uORFIOH6628~RFU25244.16,952,1
SID_gen1,Hs~RefNM_004596.1~uORFIOH6628~RFU24507.13,933,1
SID_gen1,Hs~RefNM_006399.2~uORFIOH21626~RFU0,64,1
SID_gen1,Hs~RefNM_006399.2~uORFIOH21626~RFU0,60,2
SID_gen1,Hs~RefNM_152285.1~uORFIOH21698~RFU14967.14,1639,1
SID_gen1,Hs~RefNM_152285.1~uORFIOH21698~RFU14939.84,1687,1
SID_gen1,Hs~MGCBC033437.1~uORFIOH27326~RFU15832.58,2359,1
SID_gen1,Hs~MGCBC033437.1~uORFIOH27326~RFU15806.29,2409,1
SID_gen1,Hs~MGCBC030524.1~uORFIOH21689~RFU0,62,1
SID_gen1,Hs~MGCBC030524.1~uORFIOH21689~RFU0,60,2
SID_gen1,Hs~RefNM_005567.2~uORFIOH3566~RFU1795.57,569,1
SID_gen1,Hs~RefNM_005567.2~uORFIOH3566~RFU2052.79,597,1
SID_gen1,Hs~RefNM_020854.2~uORFIOH9686~RFU15479.73,1353,1
SID_gen1,Hs~RefNM_020854.2~uORFIOH9686~RFU17863.71,1358,1
SID_gen1,Hs~MGCBC068448.1~uORFIOH40093~RFU36391.67,823,1
SID_gen1,Hs~MGCBC068448.1~uORFIOH40093~RFU36052.98,795,1
SID_gen1,Hs~RefNM_006078.2~uORFIOH40316~RFU12233.34,3628,1
SID_gen1,Hs~RefNM_006078.2~uORFIOH40316~RFU12495.2,3750,1
SID_gen1,Hs~MGCBC062344.1~uORFIOH40702~RFU3352.54,609,1
SID_gen1,Hs~MGCBC062344.1~uORFIOH40702~RFU3284.8,596,1
SID_gen1,Hs~MGCBC062422.1~uORFIOH40746~RFU4512.18,739,1
SID_gen1,Hs~MGCBC062422.1~uORFIOH40746~RFU4623.4,759,1
SID_gen1,Hs~RefNM_015568.2~uORFIOH37988~RFU2363.77,645,1
SID_gen1,Hs~RefNM_015568.2~uORFIOH37988~RFU2797.49,667,1
SID_gen1,Hs~RefNM_178275.3~uORFIOH38420~RFU8576.48,1100,1
SID_gen1,Hs~RefNM_178275.3~uORFIOH38420~RFU7843.49,1160,1
SID_gen1,Hs~RefNM_020662.1~uORFIOH37719~RFU3563.85,463,1
SID_gen1,Hs~RefNM_020662.1~uORFIOH37719~RFU3332.32,484,1
SID_gen1,Hs~RefNM_000879.2~uORFIOH40150~RFU11821.86,806,1
SID_gen1,Hs~RefNM_000879.2~uORFIOH40150~RFU10069.16,803,1
SID_gen1,Hs~MGCBC069505.1~uORFIOH40261~RFU37801.03,767,1
SID_gen1,Hs~MGCBC069505.1~uORFIOH40261~RFU35777.98,1884,1
SID_gen1,Hs~RefNM_205853.1~uORFIOH43061~RFU32322.5,18912,1
SID_gen1,Hs~RefNM_205853.1~uORFIOH43061~RFU33068.23,19418,1
SID_gen1,Hs~RefXM_379117.1~uORFIOH43619~RFU18591.65,1429,1
SID_gen1,Hs~RefXM_379117.1~uORFIOH43619~RFU19900.88,1369,1
SID_gen1,Hs~RefNM_000609.3~uORFIOH40945~RFU13178.88,702,1
SID_gen1,Hs~RefNM_000609.3~uORFIOH40945~RFU13503.18,676,1
SID_gen1,Hs~RefNM_173456.1~uORFIOH45493~RFU10085.94,674,1
SID_gen1,Hs~RefNM_173456.1~uORFIOH45493~RFU11343.94,725,1
SID_gen1,Hs~RefNM_177524.1~uORFIOH45900~RFU16154.08,1762,1
SID_gen1,Hs~RefNM_177524.1~uORFIOH45900~RFU18975.84,6527,1
SID_gen1,Hs~RefNM_170672.1~uORFIOH27295~RFU30551.01,988,1
SID_gen1,Hs~RefNM_170672.1~uORFIOH27295~RFU46088.36,1025,1
SID_gen1,Hs~MGCBC054004.1~uORFIOH29012~RFU43392.12,2727,1
SID_gen1,Hs~MGCBC054004.1~uORFIOH29012~RFU42432,2731,1
SID_gen1,Hs~MGCBC041132.1~uORFIOH26140~RFU10604.59,1074,1
SID_gen1,Hs~MGCBC041132.1~uORFIOH26140~RFU9042.19,1037,1
SID_gen1,Hs~RefNM_203422.1~uORFIOH29035~RFU17725.91,2379,1
SID_gen1,Hs~RefNM_203422.1~uORFIOH29035~RFU19331.49,2352,1
SID_gen1,Hs~RefNM_139016.2~uORFIOH27635~RFU37974.93,4105,1
SID_gen1,Hs~RefNM_139016.2~uORFIOH27635~RFU36539.28,7432,1
SID_gen1,Hs~RefNM_000061.1~N/A~RFU27570.52,1071,1
SID_gen1,Hs~RefNM_000061.1~N/A~RFU44817.51,1094,1
SID_gen1,Hs~RefNM_001433.1~N/A~RFU3974.32,595,1
SID_gen1,Hs~RefNM_001433.1~N/A~RFU4237.19,603,1
SID_gen1,Hs~RefNM_002753.2~N/A~RFU0,76,1
SID_gen1,Hs~RefNM_002753.2~N/A~RFU9.22,63,1
SID_gen1,Hs~RefNM_001315.1~N/A~RFU0,63,1
SID_gen1,Hs~RefNM_001315.1~N/A~RFU0,61,2
SID_gen1,Hs~RefNM_004448.1~N/A~RFU9604.66,655,1
SID_gen1,Hs~RefNM_004448.1~N/A~RFU8841.37,756,1
SID_gen2,AlexaAntiMouseAb~N/A,11776,1
SID_gen2,AlexaAntiMouseAb~N/A,10616,2
SID_gen2,ERa~N/A,9529,1
SID_gen2,ERa~N/A,8613,2
SID_gen2,HumanIgG1~N/A,572,1
SID_gen2,HumanIgG1~N/A,539,2
SID_gen2,HumanIgG2~N/A,1580,1
SID_gen2,HumanIgG2~N/A,1425,2
SID_gen2,HumanIgG3~N/A,10228,1
SID_gen2,HumanIgG3~N/A,10145,2
SID_gen2,HumanIgA2~N/A,3487,1
SID_gen2,HumanIgA2~N/A,3559,2
SID_gen2,HumanIgA1~N/A,827,1
SID_gen2,HumanIgA1~N/A,792,2
SID_gen2,BSA~N/A,1323,1
SID_gen2,BSA~N/A,1368,2
SID_gen2,Hs~RefNM_014741.2~uORFIOH3624~RFU17462.34,847,1
SID_gen2,Hs~RefNM_014741.2~uORFIOH3624~RFU17228.79,873,1
SID_gen2,Hs~MGCBC002701.2~uORFIOH5296~RFU10870.22,1915,1
SID_gen2,Hs~MGCBC002701.2~uORFIOH5296~RFU11511.07,2102,1
SID_gen2,Hs~RefNM_032354.1~uORFIOH6348~RFU48763.52,1336,1
SID_gen2,Hs~RefNM_032354.1~uORFIOH6348~RFU46619.15,1248,1
SID_gen2,Hs~MGCNM_174896.2~uORFIOH23052~RFU23534.53,1221,1
SID_gen2,Hs~MGCNM_174896.2~uORFIOH23052~RFU25114.75,1274,1
SID_gen2,Hs~RefNM_002964.3~uORFIOH7407~RFU33706.4,678,1
SID_gen2,Hs~RefNM_002964.3~uORFIOH7407~RFU31776.36,711,1
SID_gen2,Hs~MGCBC038934.1~uORFIOH27574~RFU9.22,62,1
SID_gen2,Hs~MGCBC038934.1~uORFIOH27574~RFU0,61,1
SID_gen2,Hs~MGCBC040516.1~uORFIOH27501~RFU0,64,1
SID_gen2,Hs~MGCBC040516.1~uORFIOH27501~RFU0,66,2
SID_gen2,Hs~MGCBC036923.1~uORFIOH25928~RFU27543.22,2357,1
SID_gen2,Hs~MGCBC036923.1~uORFIOH25928~RFU28647.26,2291,1
SID_gen2,Hs~MGCNM_173545.1~uORFIOH26160~RFU29404.51,1400,1
SID_gen2,Hs~MGCNM_173545.1~uORFIOH26160~RFU29535.94,1459,1
SID_gen2,Hs~MGCBC040949.1~uORFIOH26268~RFU35491.86,8802,1
SID_gen2,Hs~MGCBC040949.1~uORFIOH26268~RFU35666.77,9270,1
SID_gen2,Hs~MGCBC019883.1~uORFIOH11101~RFU17911.23,538,1
SID_gen2,Hs~MGCBC019883.1~uORFIOH11101~RFU19140.63,523,1
SID_gen2,Hs~RefNM_000499.2~uORFIOH10675~RFU3874.23,380,1
SID_gen2,Hs~RefNM_000499.2~uORFIOH10675~RFU3325.27,384,1
SID_gen2,Hs~MGCBC016853.1~uORFIOH10348~RFU6489.17,536,1
SID_gen2,Hs~MGCBC016853.1~uORFIOH10348~RFU5991.24,536,1
SID_gen2,Hs~RefNM_138612.1~uORFIOH11074~RFU9330.34,615,1
SID_gen2,Hs~RefNM_138612.1~uORFIOH11074~RFU9973.49,622,1
SID_gen2,Hs~MGCBC032598.1~uORFIOH21976~RFU28365.18,1232,1
SID_gen2,Hs~MGCBC032598.1~uORFIOH21976~RFU30139.52,1249,1
SID_gen2,Hs~RefNM_080660.2~uORFIOH6727~RFU64434.07,1249,1
SID_gen2,Hs~RefNM_080660.2~uORFIOH6727~RFU62435.55,1230,1
SID_gen2,Hs~MGCBC032954.2~uORFIOH22415~RFU9684.19,663,1
SID_gen2,Hs~MGCBC032954.2~uORFIOH22415~RFU9044.49,663,1
SID_gen2,Hs~MGCBC003160.1~uORFIOH5120~RFU3390.96,446,1
SID_gen2,Hs~MGCBC003160.1~uORFIOH5120~RFU3343.71,478,1
SID_gen2,Hs~RefNM_024099.2~uORFIOH40910~RFU40705.39,2054,1
SID_gen2,Hs~RefNM_024099.2~uORFIOH40910~RFU40320.49,2219,1
SID_gen2,Hs~RefNM_018357.2~uORFIOH6558~RFU66113.64,21344,1
SID_gen2,Hs~RefNM_018357.2~uORFIOH6558~RFU66131.84,21945,1
SID_gen2,Hs~RefNM_145699.2~uORFIOH35258~RFU18386.35,1081,1
SID_gen2,Hs~RefNM_145699.2~uORFIOH35258~RFU19508.99,1166,1
SID_gen2,Hs~RefNM_194299.1~uORFIOH35431~RFU45711.25,1809,1
SID_gen2,Hs~RefNM_194299.1~uORFIOH35431~RFU45692.04,1918,1
SID_gen2,Hs~RefNM_176824.1~uORFIOH38205~RFU850.62,426,1
